exer_id,cpt_seq
0,"1,24,44"
1,"1,24,44"
2,"1,24,44"
3,"1,24,44"
4,"1,24,44"
5,"1,24,44"
6,"1,24,31,48"
7,"1,31,49"
8,"1,24,31"
9,"1,31,49"
10,"1,24,31"
11,"1,24,31,48"
12,9
13,9
14,9
15,9
16,11
17,11
18,11
19,"6,8"
20,"6,8"
21,"6,8"
22,"6,8"
23,"6,9"
24,"6,9"
25,"6,9"
26,81
27,81
28,81
29,81
30,81
31,81
32,81
33,81
34,81
35,81
36,4
37,4
38,4
39,4
40,4
41,"6,14"
42,"6,40"
43,"6,11"
44,"6,11"
45,"6,11"
46,"6,11"
47,"6,10"
48,"6,10"
49,"6,9"
50,"6,9"
51,"6,9"
52,"6,10"
53,"6,9"
54,"6,11"
55,"6,11"
56,8
57,9
58,14
59,14
60,17
61,17
62,18
63,18
64,18
65,18
66,18
67,20
68,21
69,21
70,"22,51"
71,"22,43"
72,22
73,"22,43"
74,"22,43"
75,22
76,25
77,25
78,25
79,25
80,25
81,26
82,26
83,26
84,26
85,26
86,26
87,29
88,29
89,29
90,29
91,29
92,29
93,29
94,29
95,29
96,30
97,30
98,30
99,30
100,30
101,30
102,30
103,30
104,30
105,30
106,30
107,32
108,32
109,32
110,32
111,"32,33"
112,32
113,33
114,33
115,33
116,33
117,33
118,33
119,33
120,34
121,34
122,34
123,34
124,"34,35,46"
125,"34,35,46"
126,"34,35,46"
127,"34,35,46"
128,"34,35,46"
129,"34,35,46"
130,"34,35,46"
131,36
132,36
133,37
134,37
135,37
136,"37,55"
137,"37,55"
138,"37,55"
139,37
140,37
141,37
142,37
143,37
144,38
145,38
146,38
147,38
148,"39,46"
149,"39,46"
150,"39,46"
151,41
152,41
153,41
154,41
155,41
156,41
157,41
158,41
159,42
160,44
161,44
162,44
163,44
164,44
165,44
166,"45,55"
167,"45,55"
168,46
169,46
170,46
171,46
172,46
173,46
174,47
175,47
176,47
177,47
178,47
179,48
180,49
181,49
182,49
183,49
184,49
185,49
186,49
187,49
188,52
189,52
190,52
191,52
192,52
193,53
194,53
195,53
196,53
197,53
198,53
199,53
200,53
201,53
202,53
203,53
204,54
205,56
206,56
207,58
208,63
209,63
210,67
211,78
212,78
213,78
214,78
215,79
216,79
217,79
218,79
219,79
220,79
221,79
222,79
223,79
224,80
225,80
226,80
227,80
228,80
229,80
230,80
231,81
232,81
233,81
234,81
235,81
236,81
237,81
238,81
239,81
240,81
241,81
242,81
243,82
244,82
245,82
246,82
247,82
248,82
249,82
250,82
251,82
252,82
253,92
254,92
255,92
256,92
257,96
258,96
259,96
260,96
261,96
262,96
263,96
264,96
265,96
266,97
267,97
268,97
269,97
270,97
271,97
272,97
273,97
274,97
275,97
276,98
277,98
278,98
279,98
280,98
281,98
282,98
283,98
284,98
285,98
286,98
287,98
288,98
289,98
290,98
291,98
292,98
293,98
294,98
295,99
296,99
297,99
298,99
299,99
300,99
301,99
302,99
303,99
304,99
305,99
306,99
307,111
308,119
309,63
310,99
311,99
312,99
313,99
314,99
315,99
316,99
317,99
318,99
319,99
320,99
321,99
322,99
323,99
324,99
325,99
326,99
327,99
328,99
329,99
330,"0,9"
331,"0,9"
332,"1,44"
333,"1,44"
334,"1,44"
335,"1,24,31,48"
336,"1,24,31,48"
337,"1,24,31,48"
338,"1,24,31,48"
339,"1,31,49"
340,"1,24,31"
341,"1,31,49"
342,"1,24,31"
343,"1,44"
344,"1,44"
345,2
346,2
347,2
348,"3,121"
349,"3,121"
350,"3,121"
351,4
352,4
353,"5,10"
354,"5,8"
355,"5,11"
356,"6,8"
357,"6,8"
358,"6,9"
359,"6,9"
360,"6,10"
361,"6,10"
362,"6,37"
363,"6,14"
364,"6,14"
365,"6,11"
366,7
367,7
368,7
369,7
370,7
371,"7,44"
372,"7,44"
373,"7,44"
374,"7,44"
375,"7,44"
376,"7,44"
377,"7,44"
378,9
379,11
380,12
381,"12,13"
382,"12,13"
383,"12,13"
384,"12,13"
385,"12,13"
386,"12,13"
387,"12,13"
388,"12,13"
389,"12,13"
390,13
391,13
392,13
393,13
394,13
395,13
396,14
397,14
398,14
399,14
400,14
401,"15,16"
402,15
403,17
404,17
405,17
406,18
407,20
408,20
409,20
410,20
411,20
412,20
413,20
414,20
415,20
416,20
417,20
418,20
419,20
420,20
421,20
422,20
423,20
424,20
425,20
426,20
427,20
428,20
429,20
430,20
431,20
432,20
433,20
434,20
435,20
436,20
437,20
438,20
439,20
440,21
441,"22,51"
442,22
443,"22,80"
444,"22,80"
445,"22,80"
446,"22,80"
447,"23,29"
448,"23,29"
449,"23,29"
450,"23,29"
451,"23,29"
452,"23,29"
453,25
454,25
455,26
456,26
457,26
458,27
459,29
460,29
461,29
462,29
463,29
464,29
465,29
466,29
467,29
468,29
469,29
470,29
471,29
472,30
473,30
474,30
475,30
476,30
477,30
478,30
479,30
480,30
481,30
482,30
483,30
484,30
485,30
486,30
487,32
488,32
489,"32,33"
490,32
491,32
492,32
493,"32,33"
494,32
495,32
496,33
497,33
498,33
499,33
500,33
501,33
502,33
503,33
504,33
505,33
506,34
507,34
508,34
509,"34,35,46"
510,"34,35,46"
511,"34,35,46"
512,"34,35,46"
513,"34,35,46"
514,"34,35,46"
515,"34,35,46"
516,"34,35,46"
517,"34,35,46"
518,"34,35,46"
519,"34,35,46"
520,"34,35,46"
521,"34,35,46"
522,"34,35,46"
523,"34,35,46"
524,34
525,34
526,"34,35,46"
527,"34,35,46"
528,"34,35,46"
529,"34,35,46"
530,"34,35,46"
531,"34,35,46"
532,"34,35,46"
533,"34,35,46"
534,"34,35,46"
535,"34,35,46"
536,"34,35,46"
537,"34,35,46"
538,"34,35,46"
539,"34,35,46"
540,"34,35,46"
541,36
542,36
543,36
544,37
545,"37,55"
546,"37,55"
547,37
548,37
549,37
550,37
551,37
552,"37,55"
553,"37,55"
554,37
555,37
556,37
557,37
558,38
559,38
560,"39,46"
561,"39,46"
562,"39,46"
563,"39,46"
564,"39,46"
565,"39,46"
566,"39,46"
567,"39,46"
568,"39,46"
569,"39,46"
570,"39,46"
571,"39,46"
572,"39,46"
573,"39,46"
574,"39,46"
575,41
576,41
577,41
578,41
579,41
580,41
581,41
582,41
583,41
584,42
585,42
586,42
587,42
588,42
589,44
590,44
591,44
592,44
593,44
594,44
595,"45,58"
596,"45,58"
597,"45,58"
598,"45,58"
599,"45,58"
600,"45,58"
601,"45,58"
602,"45,58"
603,"45,58"
604,"45,58"
605,"45,58"
606,"45,58"
607,"45,58"
608,"45,58"
609,"45,58"
610,46
611,46
612,46
613,46
614,46
615,46
616,46
617,46
618,46
619,46
620,46
621,46
622,46
623,46
624,46
625,47
626,47
627,48
628,48
629,48
630,48
631,48
632,48
633,48
634,48
635,48
636,48
637,48
638,48
639,48
640,48
641,48
642,48
