stu_id,exer_id,cpt_seq,label
56,3,3,0
102,1,1,0
108,1,1,0
534,4,4,1
118,4,4,0
676,3,3,1
400,1,1,1
149,3,3,1
664,0,0,1
234,4,4,1
704,3,3,1
657,4,4,1
548,3,3,1
497,0,0,1
54,4,4,1
568,3,3,1
881,1,1,1
72,4,4,1
267,4,4,1
66,4,4,1
407,0,0,1
651,3,3,0
815,0,0,1
60,2,2,1
474,4,4,1
484,3,3,1
771,4,4,1
556,3,3,1
828,3,3,1
938,1,1,1
117,0,0,1
897,4,4,1
889,4,4,1
129,2,2,0
922,4,4,1
180,4,4,1
16,0,0,0
734,2,2,1
576,4,4,1
79,0,0,1
269,2,2,1
799,4,4,1
852,0,0,1
569,0,0,1
287,3,3,1
97,2,2,0
616,1,1,1
679,0,0,1
571,3,3,1
816,1,1,1
731,0,0,1
332,3,3,1
851,3,3,1
719,0,0,1
367,3,3,0
234,1,1,0
42,4,4,1
365,3,3,0
341,3,3,0
34,0,0,0
279,0,0,1
787,1,1,1
18,1,1,0
903,2,2,1
916,3,3,1
327,0,0,1
846,4,4,1
199,4,4,1
756,1,1,1
716,0,0,1
210,3,3,0
13,3,3,1
838,2,2,1
992,4,4,1
107,1,1,0
634,4,4,1
453,3,3,1
632,3,3,0
551,2,2,0
271,3,3,1
587,4,4,1
711,4,4,1
757,1,1,1
880,3,3,1
795,3,3,1
314,4,4,1
147,1,1,0
449,4,4,1
382,4,4,1
138,4,4,1
196,4,4,1
704,2,2,1
800,1,1,1
909,4,4,1
917,4,4,1
99,3,3,0
399,4,4,1
884,1,1,1
416,1,1,1
464,2,2,0
774,2,2,1
733,4,4,1
154,2,2,0
643,3,3,0
245,1,1,0
376,0,0,1
756,0,0,1
713,1,1,1
140,1,1,0
78,3,3,0
425,3,3,1
336,2,2,0
969,1,1,1
735,3,3,1
494,2,2,0
746,2,2,1
377,0,0,1
386,4,4,1
528,4,4,1
609,0,0,1
735,1,1,1
555,0,0,1
340,1,1,1
683,0,0,1
607,4,4,0
726,0,0,1
213,1,1,0
847,4,4,1
442,0,0,1
399,1,1,1
540,2,2,0
172,3,3,1
506,1,1,1
57,0,0,0
900,0,0,1
715,0,0,1
758,4,4,1
329,3,3,1
290,3,3,1
773,2,2,1
832,1,1,1
267,3,3,1
518,0,0,1
689,1,1,1
187,2,2,0
925,4,4,1
78,2,2,0
805,3,3,1
766,1,1,1
14,2,2,0
504,1,1,1
799,0,0,1
705,4,4,1
17,2,2,0
239,2,2,1
564,4,4,1
647,4,4,1
577,2,2,0
58,1,1,1
452,4,4,1
505,4,4,1
932,0,0,1
221,4,4,1
845,2,2,1
386,2,2,0
894,0,0,1
64,0,0,0
225,0,0,1
182,0,0,1
531,3,3,1
192,2,2,0
913,0,0,1
796,1,1,1
813,0,0,1
123,4,4,0
54,0,0,0
221,2,2,1
928,2,2,1
256,4,4,1
646,3,3,0
826,4,4,1
931,0,0,1
792,4,4,1
789,4,4,1
51,1,1,1
21,0,0,0
516,4,4,1
465,0,0,1
172,2,2,0
513,4,4,1
850,0,0,1
70,2,2,1
436,2,2,0
370,3,3,0
781,3,3,1
38,2,2,0
446,4,4,1
211,3,3,0
92,1,1,0
613,4,4,1
849,4,4,1
358,0,0,1
89,0,0,1
235,1,1,0
353,0,0,1
814,4,4,1
281,3,3,1
929,0,0,1
877,1,1,1
255,3,3,1
38,4,4,1
255,4,4,0
726,1,1,1
413,3,3,1
883,2,2,1
578,1,1,1
964,2,2,1
310,0,0,1
697,0,0,1
77,1,1,0
507,3,3,1
723,1,1,1
680,0,0,1
57,4,4,1
136,2,2,0
272,1,1,0
503,1,1,1
834,0,0,1
344,0,0,1
615,1,1,1
557,0,0,1
543,1,1,1
364,4,4,1
843,2,2,1
207,1,1,0
35,1,1,1
871,4,4,1
55,4,4,1
931,1,1,1
431,0,0,1
610,2,2,1
357,1,1,1
127,2,2,0
668,4,4,1
772,0,0,1
73,1,1,1
696,1,1,1
511,4,4,1
184,3,3,1
14,4,4,1
383,4,4,1
426,2,2,0
3,3,3,0
159,0,0,1
984,0,0,1
888,4,4,1
116,1,1,0
636,0,0,1
801,4,4,1
154,1,1,0
394,1,1,1
598,2,2,0
152,3,3,1
23,0,0,0
167,2,2,0
45,1,1,1
30,4,4,1
678,1,1,1
788,3,3,1
323,3,3,1
700,3,3,1
777,1,1,1
916,4,4,1
590,3,3,1
377,1,1,1
35,2,2,0
845,3,3,1
906,3,3,1
422,3,3,1
441,1,1,1
788,2,2,1
331,1,1,0
617,3,3,0
414,1,1,1
786,2,2,1
276,0,0,1
704,1,1,1
673,3,3,0
883,4,4,1
521,1,1,1
100,0,0,1
552,3,3,1
665,0,0,1
458,3,3,1
535,0,0,1
330,4,4,1
614,2,2,1
706,0,0,1
679,3,3,1
395,1,1,1
642,0,0,1
324,1,1,0
751,0,0,1
259,2,2,1
327,1,1,0
508,1,1,1
638,1,1,1
722,3,3,1
232,4,4,1
598,4,4,1
1,3,3,0
256,0,0,1
686,3,3,1
597,2,2,0
97,1,1,0
521,4,4,1
983,0,0,1
45,2,2,0
195,3,3,1
303,2,2,1
737,2,2,1
388,0,0,1
140,2,2,0
887,0,0,1
557,4,4,1
833,2,2,1
806,1,1,1
211,0,0,1
867,2,2,1
999,1,1,1
593,2,2,0
67,2,2,1
229,1,1,0
628,0,0,1
209,1,1,0
541,3,3,1
638,0,0,1
887,2,2,1
99,0,0,1
971,0,0,1
743,0,0,1
627,3,3,0
381,4,4,1
908,3,3,1
203,2,2,0
606,2,2,1
5,0,0,0
536,3,3,1
824,3,3,1
788,1,1,1
439,1,1,1
118,1,1,0
150,2,2,0
450,4,4,1
987,0,0,1
488,2,2,0
32,2,2,0
709,3,3,1
404,0,0,1
122,1,1,0
812,4,4,1
138,2,2,0
658,4,4,1
649,4,4,1
935,1,1,1
846,1,1,1
712,4,4,1
124,3,3,1
563,2,2,0
109,3,3,0
578,0,0,1
748,4,4,1
67,4,4,1
363,4,4,1
40,3,3,1
734,3,3,1
729,4,4,1
471,4,4,1
961,3,3,1
499,0,0,1
651,1,1,1
376,3,3,0
856,1,1,1
767,1,1,1
959,3,3,1
835,2,2,1
672,3,3,0
957,1,1,1
738,2,2,1
222,0,0,1
823,4,4,1
602,2,2,1
277,3,3,1
728,0,0,1
695,0,0,1
274,0,0,1
445,0,0,1
