stu_id,exer_id,cpt_seq,label
0,8,6,1
0,11,8,0
0,0,0,1
0,19,6,1
0,36,7,1
0,12,6,1
1,527,34,1
1,507,27,0
1,377,8,0
1,481,37,1
1,515,28,0
1,487,14,0
1,510,1,0
1,495,24,0
1,530,19,0
1,477,36,1
1,497,24,1
1,37,6,0
1,523,34,0
1,373,8,0
1,506,27,0
1,524,21,0
1,531,20,0
1,509,22,1
1,514,22,1
1,501,22,0
1,486,24,0
1,504,27,0
1,1,1,1
1,472,15,0
1,512,30,0
1,505,24,0
1,484,27,1
1,492,4,1
1,490,24,1
1,493,24,1
1,478,1,0
1,494,17,0
1,496,24,1
1,471,36,1
1,476,36,1
1,489,13,0
1,488,27,0
1,491,24,1
1,479,22,0
1,371,8,1
2,104,17,0
2,419,22,1
2,242,27,0
2,386,1,1
2,405,2,0
2,65,18,1
2,172,10,0
2,66,18,1
2,14,9,0
2,430,11,0
2,13,6,0
2,157,22,1
2,155,22,1
2,116,17,0
2,380,36,0
2,146,15,0
2,176,15,1
2,70,18,0
2,22,10,1
2,375,8,1
2,109,18,0
2,461,24,1
2,489,13,0
2,368,0,1
2,459,11,0
2,283,15,1
2,383,36,0
2,232,21,1
2,51,7,0
2,252,21,0
2,6,4,1
2,30,0,1
2,254,15,0
2,141,13,1
2,414,37,1
2,403,2,0
2,433,11,1
2,4,1,1
2,229,25,0
2,301,35,0
2,173,10,1
2,378,1,1
2,165,13,0
2,306,24,0
2,191,29,1
2,62,9,0
2,442,27,0
2,426,11,0
2,0,0,1
2,162,17,1
2,352,32,0
2,468,24,0
2,209,26,1
2,246,27,1
2,163,17,0
2,156,22,0
2,443,27,1
2,417,28,1
2,92,15,1
2,289,24,0
2,393,22,0
2,58,0,0
2,409,18,0
2,189,3,1
2,32,6,1
2,199,31,0
2,128,15,0
2,422,18,1
2,183,25,1
2,366,0,1
2,95,18,0
2,140,16,1
2,40,14,0
2,77,1,0
2,148,2,0
2,394,2,1
2,310,29,0
2,134,4,0
2,305,30,1
2,29,13,1
2,117,19,1
2,41,14,1
2,97,15,1
2,228,2,0
2,404,2,1
2,358,21,0
2,114,18,0
2,437,36,1
2,50,7,1
2,24,11,1
2,153,22,1
2,12,6,1
2,435,31,1
2,456,14,1
2,224,29,1
2,258,29,1
2,488,27,0
2,79,14,1
2,170,10,1
2,103,15,1
2,132,4,0
2,138,22,1
2,149,24,0
2,244,29,0
2,37,6,1
2,9,7,0
2,102,13,1
2,451,11,1
2,27,12,1
2,253,24,0
2,449,11,0
2,112,18,0
2,336,30,0
2,93,15,1
2,221,19,0
2,444,27,1
2,28,13,1
2,38,6,1
2,61,7,0
2,462,24,0
2,484,27,0
2,67,18,0
2,398,2,1
2,69,18,0
2,226,31,0
2,33,14,1
2,410,2,0
2,248,27,0
2,73,9,1
2,133,4,0
2,379,4,1
2,10,0,1
2,251,17,1
2,333,35,0
2,125,15,0
2,124,20,1
2,370,1,0
2,39,0,1
2,235,21,0
2,131,4,0
2,59,0,0
2,445,17,1
2,154,22,0
2,429,11,0
2,64,18,1
2,323,27,0
2,470,36,1
2,91,18,0
2,72,9,1
2,282,29,0
2,436,31,0
2,369,1,1
2,311,29,0
2,192,23,1
2,397,2,0
2,7,5,1
2,85,4,0
2,123,17,1
2,338,35,0
2,36,7,0
2,407,2,0
2,98,15,1
2,108,18,1
2,396,2,1
2,219,35,0
2,122,17,0
2,54,0,1
2,193,29,0
2,377,8,1
2,135,4,0
2,263,15,1
2,421,18,0
2,20,0,1
2,454,7,1
2,448,36,0
2,402,5,1
2,291,4,0
2,327,25,0
2,44,7,1
2,447,36,1
2,86,17,1
2,150,24,0
2,312,34,0
2,121,4,0
2,83,14,0
2,76,1,0
2,63,17,1
2,438,7,1
2,100,17,1
2,373,8,0
2,200,32,1
2,413,37,1
2,31,0,1
2,19,6,1
2,233,25,0
2,446,7,0
2,179,28,0
2,223,35,1
2,42,2,1
2,78,14,1
2,190,29,0
2,281,2,0
2,326,31,0
2,53,7,0
2,207,3,1
2,324,13,0
2,441,27,0
2,372,8,1
2,471,36,0
2,317,31,0
2,1,1,1
2,440,27,1
2,25,11,1
2,388,2,1
2,119,4,1
2,427,11,0
2,99,15,1
2,87,17,0
2,127,15,1
2,330,31,0
2,26,12,1
2,81,14,0
2,152,22,0
2,249,27,0
3,245,27,1
3,134,4,0
3,213,2,1
3,128,15,1
3,80,14,1
3,250,27,0
3,84,14,0
3,45,7,1
3,146,15,0
3,31,0,1
3,221,19,0
3,254,15,1
3,150,24,1
3,11,8,1
3,18,4,1
3,275,21,1
3,100,17,1
3,44,7,1
3,215,33,0
3,136,21,1
3,138,22,1
3,127,15,1
3,22,10,0
3,118,17,1
3,583,34,0
3,130,4,1
3,203,33,1
3,227,33,0
3,79,14,1
3,331,31,0
3,78,14,0
3,323,27,0
3,6,4,0
3,386,1,0
3,144,20,1
3,228,2,0
3,247,27,1
3,379,4,1
3,220,34,1
3,36,7,1
3,388,2,0
3,260,26,1
3,53,7,1
3,248,27,0
3,261,24,1
3,24,11,0
3,291,4,1
3,159,13,1
3,75,1,1
3,206,34,1
3,120,4,1
3,5,1,1
3,212,3,1
3,276,21,0
3,319,26,1
3,252,21,0
3,168,24,1
3,205,33,1
3,358,21,0
3,389,2,0
3,390,2,1
3,52,7,1
3,207,3,1
3,102,13,1
3,142,15,0
3,74,1,1
3,369,1,0
3,82,14,0
3,292,4,0
3,117,19,0
3,19,6,1
3,71,14,1
3,119,4,1
3,321,26,1
3,294,34,1
3,210,26,1
3,174,22,1
3,17,8,1
3,145,20,0
3,38,6,1
3,97,15,1
3,133,4,0
3,167,27,1
3,175,15,1
3,87,17,0
3,33,14,1
3,63,17,1
3,201,33,1
3,9,7,0
3,176,15,1
3,164,17,0
3,315,13,0
3,113,17,1
3,85,4,0
3,297,24,1
3,179,28,0
3,237,35,0
3,76,1,0
3,204,33,0
3,356,21,0
3,13,6,1
3,16,8,1
3,34,6,1
3,123,17,0
3,1,1,0
3,125,15,1
3,81,14,1
3,7,5,0
3,202,33,1
4,608,6,0
4,118,17,1
4,264,24,1
4,277,32,0
4,346,35,0
4,478,1,1
4,207,3,1
4,374,8,1
4,414,37,0
4,560,6,1
4,291,4,0
4,445,17,0
4,332,26,1
4,335,29,0
4,216,12,0
4,678,24,0
4,94,15,1
4,84,14,1
4,99,15,1
4,460,9,0
4,607,8,1
4,491,24,0
4,409,18,1
4,354,32,0
4,388,2,1
4,592,24,1
4,340,26,0
4,326,31,0
4,253,24,1
4,512,30,1
4,663,16,1
4,60,0,1
4,524,21,0
4,525,13,1
4,197,29,0
4,287,15,0
4,616,6,1
4,435,31,1
4,213,2,0
4,156,22,0
4,680,37,0
4,33,14,1
4,288,15,1
4,258,29,1
4,65,18,0
4,265,24,1
4,529,3,0
4,274,21,0
4,179,28,0
4,102,13,1
4,256,15,0
4,58,0,0
4,655,1,1
4,142,15,0
4,425,11,1
4,366,0,1
4,289,24,1
4,200,32,1
4,572,18,0
4,0,0,1
4,431,11,1
4,1,1,0
4,236,13,1
4,348,31,0
4,508,24,1
