exer_id,cpt_seq
71,[14]
93,[15]
92,[15]
110,[15]
111,[15]
99,[15]
78,[14]
86,[17]
63,[17]
8,[6]
79,[14]
33,[14]
97,[15]
98,[15]
151,[22]
168,[24]
13,[6]
32,[6]
48,[6]
36,[7]
34,[6]
38,[6]
12,[6]
35,[6]
37,[6]
50,[7]
19,[6]
41,[14]
43,[15]
18,[4]
20,[0]
82,[14]
84,[14]
207,[3]
7,[5]
239,[15]
444,[17]
255,[15]
0,[0]
188,[30]
278,[30]
4,[1]
107,[18]
112,[18]
21,[0]
51,[7]
11,[8]
234,[15]
184,[15]
453,[7]
61,[7]
44,[7]
9,[7]
81,[14]
60,[0]
16,[8]
374,[8]
80,[14]
103,[15]
532,[6]
109,[18]
144,[20]
526,[6]
482,[14]
124,[20]
529,[6]
156,[22]
138,[22]
59,[0]
83,[14]
185,[15]
119,[4]
496,[14]
259,[29]
139,[16]
243,[29]
70,[18]
142,[15]
106,[18]
31,[0]
39,[0]
244,[29]
257,[29]
126,[15]
73,[9]
390,[15]
372,[8]
370,[8]
373,[8]
241,[29]
258,[29]
375,[8]
67,[18]
57,[0]
55,[0]
54,[0]
192,[23]
105,[18]
52,[7]
128,[15]
30,[0]
66,[18]
94,[15]
127,[15]
69,[18]
75,[1]
5,[1]
108,[18]
64,[18]
65,[18]
193,[29]
96,[18]
197,[29]
49,[6]
178,[23]
287,[15]
145,[20]
2,[2]
17,[8]
42,[2]
148,[2]
56,[0]
288,[15]
371,[8]
384,[8]
53,[7]
68,[18]
175,[15]
256,[15]
146,[15]
10,[0]
91,[18]
45,[7]
95,[18]
58,[0]
1,[1]
473,[1]
6,[4]
379,[36]
388,[2]
404,[2]
382,[36]
117,[19]
198,[24]
199,[31]
14,[9]
195,[19]
15,[9]
72,[9]
74,[1]
601,[6]
386,[1]
608,[6]
368,[1]
76,[1]
410,[1]
182,[25]
179,[28]
377,[1]
624,[2]
77,[1]
23,[3]
180,[28]
121,[4]
85,[4]
120,[4]
266,[24]
160,[13]
141,[13]
159,[13]
102,[13]
118,[17]
359,[21]
236,[13]
46,[16]
114,[18]
210,[26]
22,[10]
206,[34]
211,[35]
219,[35]
183,[25]
62,[9]
115,[15]
137,[15]
47,[16]
225,[29]
224,[29]
611,[6]
475,[7]
208,[25]
613,[29]
619,[6]
147,[23]
547,[0]
367,[0]
366,[0]
600,[6]
610,[6]
272,[15]
191,[29]
157,[22]
143,[23]
604,[7]
212,[3]
597,[6]
40,[14]
130,[4]
364,[0]
363,[0]
365,[0]
596,[6]
279,[23]
606,[6]
398,[2]
201,[33]
603,[8]
599,[8]
638,[15]
531,[22]
698,[22]
164,[17]
100,[17]
154,[22]
605,[14]
695,[6]
607,[0]
552,[6]
609,[6]
573,[17]
163,[17]
90,[17]
87,[17]
88,[17]
89,[17]
585,[24]
615,[1]
402,[2]
502,[24]
194,[15]
337,[30]
305,[30]
336,[30]
293,[30]
231,[26]
171,[10]
202,[33]
205,[33]
204,[33]
203,[33]
152,[22]
153,[22]
228,[2]
245,[27]
246,[27]
248,[27]
247,[27]
155,[22]
254,[15]
213,[2]
174,[22]
315,[13]
26,[12]
617,[18]
391,[15]
401,[5]
24,[11]
524,[28]
400,[5]
542,[28]
355,[13]
277,[32]
200,[32]
340,[26]
333,[35]
176,[15]
274,[21]
275,[21]
276,[21]
383,[36]
570,[18]
656,[27]
595,[34]
393,[2]
378,[4]
406,[2]
265,[24]
187,[24]
416,[28]
659,[13]
214,[18]
396,[2]
417,[28]
133,[4]
560,[9]
651,[33]
658,[5]
632,[1]
493,[22]
436,[36]
380,[36]
555,[15]
330,[31]
686,[7]
697,[0]
389,[2]
129,[4]
407,[2]
125,[15]
653,[16]
149,[24]
420,[18]
387,[2]
150,[24]
622,[1]
392,[22]
421,[18]
614,[10]
381,[36]
101,[18]
612,[6]
424,[11]
216,[12]
301,[35]
343,[35]
238,[35]
27,[12]
376,[8]
209,[26]
134,[4]
135,[4]
25,[11]
292,[4]
291,[4]
300,[35]
122,[17]
116,[17]
664,[4]
648,[0]
677,[26]
240,[29]
131,[4]
132,[4]
346,[35]
196,[12]
311,[29]
310,[29]
282,[29]
408,[18]
230,[29]
181,[28]
521,[3]
308,[2]
312,[34]
170,[10]
220,[34]
237,[35]
294,[34]
173,[10]
399,[2]
281,[2]
328,[25]
223,[35]
313,[24]
344,[29]
318,[34]
335,[29]
394,[2]
280,[23]
104,[17]
290,[17]
123,[17]
251,[17]
332,[26]
319,[26]
341,[26]
161,[26]
29,[13]
338,[35]
162,[17]
221,[19]
342,[26]
261,[24]
317,[31]
316,[13]
273,[17]
232,[21]
3,[3]
189,[3]
636,[2]
339,[29]
177,[15]
528,[28]
582,[18]
568,[18]
324,[13]
166,[13]
466,[36]
469,[1]
458,[9]
263,[15]
283,[15]
415,[8]
562,[0]
559,[9]
558,[9]
561,[6]
285,[15]
172,[10]
227,[33]
270,[33]
269,[33]
579,[24]
385,[1]
631,[13]
540,[7]
668,[24]
580,[24]
113,[17]
329,[13]
323,[27]
136,[21]
295,[33]
