dataset,seed,profile,ablation,model_variant,test_auc,test_acc,test_rmse,best_val_auc,best_epoch,model_epoch,test_total_rows,test_seen_rows,test_seen_coverage,clean_baseline,effective_enable_module1,effective_use_concept_graph,effective_use_personal_graph,reg_bce_ratio,graph_entropy_ratio,alpha_std,alpha_bias_std,alpha_state_path_absmean,alpha_id_path_absmean,alpha_bias_path_absmean,head_bias_path_absmean,irt_abs_mean,personal_matrix_delta,personal_matrix_student_std,personal_delta_pre_softmax_norm,personal_delta_student_std,alpha_head_std,relation_identity_delta,knowledge_state_graph_delta,knowledge_state_personal_delta,personal_bad_row_count,personal_fallback_row_count,personal_student_mix,personal_student_adapter_scale,personal_logits_absmax,local_row_ratio,personal_support_density,readout_query_delta,share_concept_embeddings,personal_alpha_bias_scale,personal_reg_warmup_epochs,personal_disable_student_global_context,personal_local_hops,personal_support_only,graph_propagation_alpha,graph_readout_1hop_scale,graph_readout_2hop_scale,scheduler_monitor,scheduler_mode,best_monitor,best_mode,early_stop_monitor,early_stop_mode,warn_graph_uniform_count,warn_alpha_collapse_count,warn_personal_count,module_activity_epoch10,failure_reason,failure_stage,ablation_valid,ablation_invalid_reason,status,exit_code,save_dir,log_dir,log_file,params_json,flags_json
assist_09,42,best,no_A,assist_09_abce_best_no_A,0.753654284737818,0.7277940888627912,0.4297718412755721,0.7506613371723628,15,15,52549,51090,0.9722354374012826,True,True,False,True,0.0035,0.0,0.0543,0.0001,0.5287,0.0,0.0,0.0731,1.7715,0.0002,0.0011,0.5753,0.2759,0.0543,0.0,0.810038,0.017161,0.0,0.0,0.0582,0.04,30.0,0.0098,1.0,0.0196,True,0.03,8,True,1,True,0.2,0.4,0.15,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 16:41:00,966 - INFO - [assist_09|assist_09_abce_best_no_A|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Personal[X]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_A/train_20260414_163346.log,"{""alpha_min_target"": 0.05, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.2, ""graph_readout_1hop_scale"": 0.4, ""graph_readout_2hop_scale"": 0.15, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.08, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 6.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.4, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 8, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 8, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 1e-05}","{""ablate_concept_graph"": true}"
assist_09,42,best,full,assist_09_abce_best_full,0.7591596539203977,0.7298492855744764,0.4283256644955122,0.7592650795858307,21,21,52549,51090,0.9722354374012826,True,True,True,True,0.0232,0.5318,0.0004,0.0,6.1904,0.0,0.0,0.3375,1.9846,0.0017,0.0025,0.4828,0.228,0.0002,0.089156,0.851365,0.018127,0.0,0.0,0.0914,0.04,30.0,0.2081,0.1057,0.2319,True,0.03,8,True,1,True,0.2,0.4,0.15,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 16:42:24,116 - INFO - [assist_09|assist_09_abce_best_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Graph[OK] Personal[X]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_full/train_20260414_163346.log,"{""alpha_min_target"": 0.05, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.2, ""graph_readout_1hop_scale"": 0.4, ""graph_readout_2hop_scale"": 0.15, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.08, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 6.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.4, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 8, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 8, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 1e-05}",{}
assist_09,42,best,no_E,assist_09_abce_best_no_E,0.762100536378818,0.731630456057937,0.42856121034176164,0.7608985193136474,23,23,52549,51090,0.9722354374012826,True,True,True,False,0.0143,0.5318,0.0,0.0,0.0,0.0,0.0,0.0,2.1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03,8,True,1,True,0.2,0.4,0.15,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 16:51:44,380 - INFO - [assist_09|assist_09_abce_best_no_E|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Graph[OK]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_E,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_E,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/best_no_E/train_20260414_164707.log,"{""alpha_min_target"": 0.0, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.2, ""graph_readout_1hop_scale"": 0.4, ""graph_readout_2hop_scale"": 0.15, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.0, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 6.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.4, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 8, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 8, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": false, ""weight_decay"": 1e-05}",{}
assist_09,42,ae_dominant,full,assist_09_abce_ae_dominant_full,0.7586539932148785,0.7292620865139949,0.4275819529385078,0.7567709795658507,15,15,52549,51090,0.9722354374012826,True,True,True,True,0.0248,0.5318,0.0236,0.0001,6.365,0.0,0.0001,0.6236,1.8296,0.002,0.003,0.4725,0.1868,0.0038,0.089157,0.826938,0.030412,0.0,0.0,0.0882,0.04,30.0,0.2038,0.1057,0.2626,True,0.03,6,True,1,True,0.22,0.45,0.18,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 17:02:45,474 - INFO - [assist_09|assist_09_abce_ae_dominant_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Graph[OK] Personal[X]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_full/train_20260414_165427.log,"{""alpha_min_target"": 0.05, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.22, ""graph_readout_1hop_scale"": 0.45, ""graph_readout_2hop_scale"": 0.18, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.1, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 7.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.45, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 6, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 6, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 1e-05}",{}
assist_09,42,ae_dominant,no_A,assist_09_abce_ae_dominant_no_A,0.7531972094815378,0.7271677431982776,0.4299576959468388,0.7506834599282664,15,15,52549,51090,0.9722354374012826,True,True,False,True,0.0043,0.0,0.0661,0.0001,0.6396,0.0,0.0001,0.3825,1.7621,0.0002,0.0011,0.5767,0.2753,0.0661,0.0,0.809296,0.017216,0.0,0.0,0.0546,0.04,30.0,0.0098,1.0,0.0222,True,0.03,6,True,1,True,0.22,0.45,0.18,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 17:05:50,756 - INFO - [assist_09|assist_09_abce_ae_dominant_no_A|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Personal[X]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_A/train_20260414_165848.log,"{""alpha_min_target"": 0.05, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.22, ""graph_readout_1hop_scale"": 0.45, ""graph_readout_2hop_scale"": 0.18, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.1, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 7.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.45, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 6, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 6, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 1e-05}","{""ablate_concept_graph"": true}"
junyi,42,best,full,junyi_abce_best_full,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015,5,True,1,True,0.25,0.3,0.1,,,,,,,0,0,0,,runtime_exception,,False,missing_enable_module1,failed,1,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_full/train_20260414_171148.log,"{""alpha_min_target"": 0.04, ""batch_size"": 256, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.4, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.7, ""graph_entropy_min"": 0.15, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.25, ""graph_readout_1hop_scale"": 0.3, ""graph_readout_2hop_scale"": 0.1, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 2, ""graph_tau_init"": 0.55, ""graph_topk"": 24, ""graph_uniform_margin"": 0.12, ""knowledge_dim"": 128, ""lambda_alpha"": 0.06, ""lambda_alpha_min"": 0.05, ""lambda_graph_diag"": 0.12, ""lambda_graph_uniform"": 0.06, ""lambda_sparse"": 0.6, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 2, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 1, ""personal_alpha_bias_scale"": 0.015, ""personal_delta_scale"": 4.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.35, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 5, ""personal_student_dim"": 64, ""personal_support_only"": true, ""personal_warmup_epochs"": 5, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 0.001}",{}
junyi,42,best,no_A,junyi_abce_best_no_A,,,,,,,,,,,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015,5,True,1,True,0.25,0.3,0.1,,,,,,,0,0,0,,runtime_exception,,False,missing_enable_module1,failed,1,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/best_no_A/train_20260414_171208.log,"{""alpha_min_target"": 0.04, ""batch_size"": 256, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.4, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.7, ""graph_entropy_min"": 0.15, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.25, ""graph_readout_1hop_scale"": 0.3, ""graph_readout_2hop_scale"": 0.1, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 2, ""graph_tau_init"": 0.55, ""graph_topk"": 24, ""graph_uniform_margin"": 0.12, ""knowledge_dim"": 128, ""lambda_alpha"": 0.06, ""lambda_alpha_min"": 0.05, ""lambda_graph_diag"": 0.12, ""lambda_graph_uniform"": 0.06, ""lambda_sparse"": 0.6, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 2, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 1, ""personal_alpha_bias_scale"": 0.015, ""personal_delta_scale"": 4.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.35, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 5, ""personal_student_dim"": 64, ""personal_support_only"": true, ""personal_warmup_epochs"": 5, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 0.001}","{""ablate_concept_graph"": true}"
assist_09,42,ae_dominant,no_E,assist_09_abce_ae_dominant_no_E,0.7621747979399606,0.7326091211587394,0.42760143465631567,0.7610552370955984,24,24,52549,51090,0.9722354374012826,True,True,True,False,0.0143,0.5318,0.0,0.0,0.0,0.0,0.0,0.0,2.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.03,6,True,1,True,0.22,0.45,0.18,val_auc,max,val_auc,max,val_auc,max,0,0,0,"2026-04-14 17:14:38,329 - INFO - [assist_09|assist_09_abce_ae_dominant_no_E|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Graph[OK]",,,True,,ok,0,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_E,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_E,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/assist_09/seed42/ae_dominant_no_E/train_20260414_170948.log,"{""alpha_min_target"": 0.0, ""batch_size"": 128, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.2, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.75, ""graph_entropy_min"": 0.25, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.22, ""graph_readout_1hop_scale"": 0.45, ""graph_readout_2hop_scale"": 0.18, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 4, ""graph_tau_init"": 0.55, ""graph_topk"": 12, ""graph_uniform_margin"": 0.1, ""knowledge_dim"": 64, ""lambda_alpha"": 0.0, ""lambda_alpha_min"": 0.0, ""lambda_graph_diag"": 0.1, ""lambda_graph_uniform"": 0.04, ""lambda_sparse"": 0.8, ""lambda_sparse_personal"": 0.0, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""personal_alpha_bias_scale"": 0.03, ""personal_delta_scale"": 7.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.45, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 6, ""personal_student_dim"": 32, ""personal_support_only"": true, ""personal_warmup_epochs"": 6, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": false, ""weight_decay"": 1e-05}",{}
junyi,42,ae_dominant,full,junyi_abce_ae_dominant_full,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015,4,True,1,True,0.28,0.34,0.12,,,,,,,0,0,0,,runtime_exception,,False,missing_enable_module1,failed,1,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_full,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_full/train_20260414_172249.log,"{""alpha_min_target"": 0.04, ""batch_size"": 256, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.4, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.7, ""graph_entropy_min"": 0.15, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.28, ""graph_readout_1hop_scale"": 0.34, ""graph_readout_2hop_scale"": 0.12, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 2, ""graph_tau_init"": 0.55, ""graph_topk"": 24, ""graph_uniform_margin"": 0.12, ""knowledge_dim"": 128, ""lambda_alpha"": 0.06, ""lambda_alpha_min"": 0.08, ""lambda_graph_diag"": 0.12, ""lambda_graph_uniform"": 0.06, ""lambda_sparse"": 0.6, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 2, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 1, ""personal_alpha_bias_scale"": 0.015, ""personal_delta_scale"": 5.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.4, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 4, ""personal_student_dim"": 64, ""personal_support_only"": true, ""personal_warmup_epochs"": 4, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 0.001}",{}
junyi,42,ae_dominant,no_A,junyi_abce_ae_dominant_no_A,,,,,,,,,,,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015,4,True,1,True,0.28,0.34,0.12,,,,,,,0,0,0,,runtime_exception,,False,missing_enable_module1,failed,1,checkpoints/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_no_A,logs/abce_diag/remote_ae_cleanrerun2_20260415_4118a85/junyi/seed42/ae_dominant_no_A/train_20260414_172309.log,"{""alpha_min_target"": 0.04, ""batch_size"": 256, ""debug_graph_diag"": true, ""diag_batches"": 1, ""dropout"": 0.4, ""early_stop_patience"": 3, ""epochs"": 100, ""graph_dropout"": 0.0, ""graph_entropy_max"": 0.7, ""graph_entropy_min"": 0.15, ""graph_identity_residual"": 0.05, ""graph_propagation_alpha"": 0.28, ""graph_readout_1hop_scale"": 0.34, ""graph_readout_2hop_scale"": 0.12, ""graph_reg_cap_ratio"": 6.0, ""graph_reg_warmup_epochs"": 2, ""graph_tau_init"": 0.55, ""graph_topk"": 24, ""graph_uniform_margin"": 0.12, ""knowledge_dim"": 128, ""lambda_alpha"": 0.06, ""lambda_alpha_min"": 0.08, ""lambda_graph_diag"": 0.12, ""lambda_graph_uniform"": 0.06, ""lambda_sparse"": 0.6, ""lambda_sparse_personal"": 0.0005, ""learning_rate"": 0.003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 2, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 1, ""personal_alpha_bias_scale"": 0.015, ""personal_delta_scale"": 5.0, ""personal_disable_student_global_context"": true, ""personal_local_hops"": 1, ""personal_max_alpha"": 0.4, ""personal_rank"": 8, ""personal_reg_warmup_epochs"": 4, ""personal_student_dim"": 64, ""personal_support_only"": true, ""personal_warmup_epochs"": 4, ""prediction_l2_lambda"": 1e-05, ""save_interval"": 10, ""seed"": 42, ""share_concept_embeddings"": true, ""use_personal_graph"": true, ""weight_decay"": 0.001}","{""ablate_concept_graph"": true}"
