dataset,seed,profile,full_auc,no_A_auc,no_B_auc,no_C_auc,no_E_auc,delta_A_full_minus_noA,delta_B_full_minus_noB,delta_C_full_minus_noC,delta_E_full_minus_noE,full_effective_use_concept_graph,full_effective_use_personal_graph,full_effective_use_mf_branch,full_effective_use_soft_prototype,full_graph_entropy_ratio,full_alpha_std,full_gate_mean,full_delta_over_irt,full_warn_graph_uniform_count,full_warn_alpha_collapse_count,full_warn_module3_count,full_module_activity_epoch10,state_A,state_B,state_C,state_E,suggest_keep,suggest_drop,suggest_tune,diagnosis_reason
assist_09,42,all_rescue,0.7867446729550489,,,,,,,,,True,True,True,True,0.1524,0.2185,0.9985,0.5531,0,0,27,"2026-03-14 02:01:49,024 - INFO - [assist_09|assist_09_abce_all_rescue_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[OK] MF[OK]",untested,untested,untested,untested,,,,mf-gate-very-high
assist_09,42,b_rescue,0.7862156853388331,,,,,,,,,True,True,True,True,0.1575,0.1618,0.9982,0.5542,0,0,27,"2026-03-14 01:46:12,188 - INFO - [assist_09|assist_09_abce_b_rescue_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,mf-gate-very-high
assist_09,42,best,0.7941827164530255,,,,,,,,,True,True,True,True,0.1628,0.1611,0.9983,0.5389,0,0,39,"2026-03-14 01:46:22,390 - INFO - [assist_09|assist_09_abce_best_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,mf-gate-very-high
assist_09,42,c_rescue,0.7941827164530255,,,,,,,,,True,True,True,True,0.1628,0.1611,0.9983,0.5389,0,0,39,"2026-03-14 01:46:22,282 - INFO - [assist_09|assist_09_abce_c_rescue_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,mf-gate-very-high
assist_09,42,e_rescue,0.793970625811945,,,,,,,,,True,True,True,True,0.1534,0.2185,0.9982,0.5357,0,0,39,"2026-03-14 01:46:10,600 - INFO - [assist_09|assist_09_abce_e_rescue_full|lr=0.0003|drop=0.20] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[OK] MF[OK]",untested,untested,untested,untested,,,,mf-gate-very-high
junyi,42,all_rescue,0.8247610636113728,,,,,,,,,True,True,True,True,0.4845,0.0,0.1657,0.0196,13,12,0,"2026-03-14 03:15:08,858 - INFO - [junyi|junyi_abce_all_rescue_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,personal-alpha-collapse;mf-gate-low;residual-delta-low
junyi,42,b_rescue,0.8250093361687377,,,,,,,,,True,True,True,True,0.4845,0.0,0.1694,0.0205,13,12,0,"2026-03-14 02:29:58,649 - INFO - [junyi|junyi_abce_b_rescue_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,personal-alpha-collapse;mf-gate-low;residual-delta-low
junyi,42,best,0.8284102629306671,,,,,,,,,True,True,True,True,0.4845,0.0,0.2059,0.0181,17,16,0,"2026-03-14 02:29:41,337 - INFO - [junyi|junyi_abce_best_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,personal-alpha-collapse;mf-gate-low;residual-delta-low
junyi,42,c_rescue,0.8284102629306671,,,,,,,,,True,True,True,True,0.4845,0.0,0.2059,0.0181,17,16,0,"2026-03-14 02:30:04,096 - INFO - [junyi|junyi_abce_c_rescue_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,personal-alpha-collapse;mf-gate-low;residual-delta-low
junyi,42,e_rescue,0.8256408547837615,,,,,,,,,True,True,True,True,0.4845,0.0,0.1841,0.0181,13,12,0,"2026-03-14 02:39:25,269 - INFO - [junyi|junyi_abce_e_rescue_full|lr=0.003|drop=0.40] [Module Activity] Epoch 10: Proto[OK] Graph[OK] Personal[X] MF[OK]",untested,untested,untested,untested,,,,personal-alpha-collapse;mf-gate-low;residual-delta-low
