dataset,profile,n_seeds,full_auc_mean,delta_A_mean,delta_B_mean,delta_C_mean,delta_E_mean,A_useful_seed_ratio,B_useful_seed_ratio,C_useful_seed_ratio,E_useful_seed_ratio,suggest_keep_by_mean,state_A_majority,state_B_majority,state_C_majority,state_E_majority
assist_09,all_rescue,1,0.7867446729550489,,,,,,,,,,untested,untested,untested,untested
assist_09,b_rescue,1,0.7862156853388331,,,,,,,,,,untested,untested,untested,untested
assist_09,best,1,0.7941827164530255,,,,,,,,,,untested,untested,untested,untested
assist_09,c_rescue,1,0.7941827164530255,,,,,,,,,,untested,untested,untested,untested
assist_09,e_rescue,1,0.793970625811945,,,,,,,,,,untested,untested,untested,untested
junyi,all_rescue,1,0.8247610636113728,,,,,,,,,,untested,untested,untested,untested
junyi,b_rescue,1,0.8250093361687377,,,,,,,,,,untested,untested,untested,untested
junyi,best,1,0.8284102629306671,,,,,,,,,,untested,untested,untested,untested
junyi,c_rescue,1,0.8284102629306671,,,,,,,,,,untested,untested,untested,untested
junyi,e_rescue,1,0.8256408547837615,,,,,,,,,,untested,untested,untested,untested
