case_id,rank,query_concept,support_concept,query_mapped,support_mapped,a_weight,item_prior,seq_prior,source,is_self
A01_row39811,1,C58,C45,58,45,0.6483852863311768,0.4743202328681946,0.09498608112335205,item+seq,0
A01_row39811,1,C58,C104,58,104,0.21812303364276886,0.5256797671318054,0.015418204478919506,item+seq,0
A01_row39811,1,C58,C58,58,58,0.050018031150102615,0.0,0.0,self,1
A01_row39811,1,C58,C32,58,32,0.02535301074385643,0.0,0.11874371021986008,seq,0
A01_row39811,1,C58,C98,58,98,0.010942129418253899,0.0,0.07699918746948242,seq,0
A01_row39811,1,C58,C14,58,14,0.010146577842533588,0.0,0.053361061960458755,seq,0
A01_row39811,1,C58,C81,58,81,0.007523669861257076,0.0,0.04672824591398239,seq,0
A01_row39811,1,C58,C13,58,13,0.007160644978284836,0.0,0.0331450030207634,seq,0
A02_row10377,2,C89,C99,89,99,0.1298234909772873,0.0,0.06656492501497269,seq,0
A02_row10377,2,C89,C98,89,98,0.12694469094276428,0.0,0.07797778397798538,seq,0
A02_row10377,2,C89,C93,89,93,0.1162872165441513,0.0,0.03685716539621353,seq,0
A02_row10377,2,C89,C20,89,20,0.10398457944393158,0.0,0.027479607611894608,seq,0
A02_row10377,2,C89,C7,89,7,0.09230492264032364,0.0,0.07015402615070343,seq,0
A02_row10377,2,C89,C44,89,44,0.08250358700752258,0.0,0.07171474397182465,seq,0
A02_row10377,2,C89,C26,89,26,0.06688754260540009,0.0,0.029497241601347923,seq,0
A02_row10377,2,C89,C29,89,29,0.06653746962547302,0.0,0.02076268382370472,seq,0
A03_row7398,3,C32,C33,32,33,0.8673888444900513,1.0,0.09656154364347458,item+seq,0
A03_row7398,3,C32,C32,32,32,0.05002943053841591,0.0,0.0,self,1
A03_row7398,3,C32,C98,32,98,0.013780687004327774,0.0,0.07277209311723709,seq,0
A03_row7398,3,C32,C58,32,58,0.012508880347013474,0.0,0.04966938495635986,seq,0
A03_row7398,3,C32,C30,32,30,0.011629224754869938,0.0,0.170384481549263,seq,0
A03_row7398,3,C32,C79,32,79,0.011495505459606647,0.0,0.08036106079816818,seq,0
A03_row7398,3,C32,C81,32,81,0.00895668938755989,0.0,0.041320379823446274,seq,0
A03_row7398,3,C32,C82,32,82,0.006454162299633026,0.0,0.03750298172235489,seq,0
A03_row7398,3,C33,C32,33,32,0.9039604663848877,1.0,0.0744435116648674,item+seq,0
A03_row7398,3,C33,C33,33,33,0.05002539977431297,0.0,0.0,self,1
A03_row7398,3,C33,C98,33,98,0.00926491990685463,0.0,0.09156434237957001,seq,0
A03_row7398,3,C33,C30,33,30,0.007786876522004604,0.0,0.2987578213214874,seq,0
A03_row7398,3,C33,C79,33,79,0.004913944751024246,0.0,0.04562105983495712,seq,0
A03_row7398,3,C33,C97,33,97,0.0045540486462414265,0.0,0.016342004761099815,seq,0
A03_row7398,3,C33,C46,33,46,0.004373898729681969,0.0,0.015858018770813942,seq,0
A03_row7398,3,C33,C82,33,82,0.00371926324442029,0.0,0.030840488150715828,seq,0
