history_pos,hist_exer_id,hist_cpt_seq,hist_label,hit_related,case_id,rank,stu_id
1,13714,"6,37",1,1,E01_row45257,1,2437
2,641,48,0,1,E01_row45257,1,2437
3,630,48,1,1,E01_row45257,1,2437
4,2638,48,0,1,E01_row45257,1,2437
5,361,"6,10",1,1,E01_row45257,1,2437
6,13719,9,1,1,E01_row45257,1,2437
7,4154,48,0,1,E01_row45257,1,2437
8,8572,"1,24,31,48",1,1,E01_row45257,1,2437
9,1924,9,1,1,E01_row45257,1,2437
10,6813,79,0,1,E01_row45257,1,2437
11,5669,"6,9",1,1,E01_row45257,1,2437
12,1513,48,0,1,E01_row45257,1,2437
1,5685,"0,11",1,1,E02_row2114,2,47
2,5696,"6,11",1,1,E02_row2114,2,47
3,922,79,0,1,E02_row2114,2,47
4,5699,"6,10",1,1,E02_row2114,2,47
5,5713,79,1,1,E02_row2114,2,47
6,394,13,0,1,E02_row2114,2,47
7,5697,"6,11",1,1,E02_row2114,2,47
8,5695,"6,8",1,1,E02_row2114,2,47
9,5716,79,1,1,E02_row2114,2,47
10,5692,"6,9",0,1,E02_row2114,2,47
11,2205,"6,8",0,1,E02_row2114,2,47
12,3770,79,0,1,E02_row2114,2,47
1,1039,"6,65",0,1,E03_row26453,3,948
2,5930,"1,24,31,48",0,1,E03_row26453,3,948
3,1048,"6,65",0,1,E03_row26453,3,948
4,15743,48,1,1,E03_row26453,3,948
5,6327,"1,24,31,48",0,1,E03_row26453,3,948
6,2638,48,0,1,E03_row26453,3,948
7,11115,"6,65",0,1,E03_row26453,3,948
8,14774,9,0,1,E03_row26453,3,948
9,3957,"45,55",0,1,E03_row26453,3,948
10,14016,9,0,1,E03_row26453,3,948
11,2022,48,0,1,E03_row26453,3,948
12,6230,9,0,1,E03_row26453,3,948
