script,input,output,checkpoint,retrained,train_only_support_check,recommend_main_text,exists
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/main_table/table_main_ablation_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,True,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/data_story/dataset_story_cards_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/paper_figures/fig2_core3_retrieval_summary.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,True,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_audit/crg_support_gap_audit_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_audit/crg_subgroup_support_dependence_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/lcrf_counterfactual/lcrf_counterfactual_delta_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,True,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/lcrf_same_query/lcrf_same_query_annotated_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,True,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/lcrf_same_query/lcrf_two_student_path_case_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,True,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_local_route_cases/crg_local_route_case_summary_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_local_route_cases/crg_local_route_case_edges_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/lcrf_student_timeline/lcrf_specific_student_timeline_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
tools/build_crg_lcrf_core3_final.py,/home/zsh/ConceptSkillCDM/results/crg_lcrf_small_core_20260519_compact,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/lcrf_state_source_audit/lcrf_state_source_audit_core3.csv,existing full/no_CRG/no_LCRF checkpoints where applicable,False,inherited from existing diagnostics,False,True
