fraction,seed,item_removed,item_added,sequence_removed,sequence_added,union_edges_original,union_edges_new,union_edges_preserved,union_preservation_rate,trial
0.0,42,0,0,0,0,1470,1470,1470,1.0,0
0.25,292,61,61,358,358,1470,1513,1097,0.7462585034013606,0
0.25,105021,61,61,358,358,1470,1512,1095,0.7448979591836735,1
0.25,209750,61,61,358,358,1470,1513,1097,0.7462585034013606,2
0.25,314479,61,61,358,358,1470,1522,1104,0.7510204081632653,3
0.25,419208,61,61,358,358,1470,1513,1097,0.7462585034013606,4
0.5,542,82,82,711,711,1470,1533,744,0.5061224489795918,0
0.5,105271,82,82,711,711,1470,1531,743,0.5054421768707483,1
0.5,210000,82,82,711,711,1470,1525,736,0.5006802721088436,2
0.5,314729,82,82,711,711,1470,1525,737,0.501360544217687,3
0.5,419458,82,82,711,711,1470,1527,741,0.5040816326530613,4
0.75,792,119,119,1068,1068,1470,1542,361,0.24557823129251702,0
0.75,105521,119,119,1068,1068,1470,1538,359,0.24421768707482994,1
0.75,210250,119,119,1068,1068,1470,1537,357,0.24285714285714285,2
0.75,314979,119,119,1068,1068,1470,1531,357,0.24285714285714285,3
0.75,419708,119,119,1068,1068,1470,1539,360,0.24489795918367346,4
1.0,1042,130,130,1418,1418,1470,1532,0,0.0,0
1.0,105771,130,130,1418,1418,1470,1532,0,0.0,1
1.0,210500,130,130,1418,1418,1470,1533,0,0.0,2
1.0,315229,130,130,1418,1418,1470,1533,0,0.0,3
1.0,419958,130,130,1418,1418,1470,1542,0,0.0,4
