fraction,seed,item_removed,item_added,sequence_removed,sequence_added,union_edges_original,union_edges_new,union_edges_preserved,union_preservation_rate,trial
0.0,42,0,0,0,0,2507,2507,2507,1.0,0
0.25,292,189,189,562,562,2507,2651,1915,0.7638611886717191,0
0.25,105021,189,189,562,562,2507,2661,1922,0.7666533705624252,1
0.25,209750,189,189,562,562,2507,2657,1922,0.7666533705624252,2
0.25,314479,189,189,562,562,2507,2651,1920,0.7658556043079378,3
0.25,419208,189,189,562,562,2507,2644,1918,0.7650578380534503,4
0.5,542,326,326,1120,1120,2507,2703,1319,0.5261268448344635,0
0.5,105271,326,326,1120,1120,2507,2712,1328,0.529716792979657,1
0.5,210000,326,326,1120,1120,2507,2700,1317,0.525329078579976,2
0.5,314729,326,326,1120,1120,2507,2696,1312,0.5233346629437575,3
0.5,419458,326,326,1120,1120,2507,2720,1322,0.5273234942161946,4
0.75,792,486,486,1681,1681,2507,2692,655,0.26126844834463503,0
0.75,105521,486,486,1681,1681,2507,2703,658,0.26246509772636617,1
0.75,210250,486,486,1681,1681,2507,2690,655,0.26126844834463503,2
0.75,314979,486,486,1681,1681,2507,2702,658,0.26246509772636617,3
0.75,419708,486,486,1681,1681,2507,2708,658,0.26246509772636617,4
1.0,1042,607,607,2233,2233,2507,2628,0,0.0,0
1.0,105771,607,607,2233,2233,2507,2642,0,0.0,1
1.0,210500,607,607,2233,2233,2507,2625,0,0.0,2
1.0,315229,607,607,2233,2233,2507,2661,0,0.0,3
1.0,419958,607,607,2233,2233,2507,2630,0,0.0,4
