fraction,group,n,auc_drop_mean,auc_drop_std,bce_increase_mean,bce_increase_std,union_preservation_mean
0.0,all,77261,0.0,,-1.3563594691845537e-12,,1.0
0.25,all,77261,0.00031685225716862055,0.00016035961071192604,0.00024116948104151436,0.00020058860206753558,0.7656162744315915
0.5,all,77261,0.0009365722920124497,0.0005415396863736213,0.0008651076586965401,0.00047374458771038075,0.5263661747108097
0.75,all,77261,0.0028317590502691557,0.0007504861026071277,0.0027232902639377165,0.0008602071303282159,0.2619864379736737
1.0,all,77261,0.0028047070126349994,0.0010143046527911613,0.01683309775531665,0.0014755196217836324,0.0
0.0,graph_hits_history,77261,0.0,,-1.3563594691845537e-12,,1.0
0.25,graph_hits_history,77261,0.00031685225716862055,0.00016035961071192604,0.00024116948104151436,0.00020058860206753558,0.7656162744315915
0.5,graph_hits_history,77261,0.0009365722920124497,0.0005415396863736213,0.0008651076586965401,0.00047374458771038075,0.5263661747108097
0.75,graph_hits_history,77261,0.0028317590502691557,0.0007504861026071277,0.0027232902639377165,0.0008602071303282159,0.2619864379736737
1.0,graph_hits_history,77261,0.0028047070126349994,0.0010143046527911613,0.01683309775531665,0.0014755196217836324,0.0
0.0,high_support_mass,19317,0.0,,-5.424882765225902e-12,,1.0
0.25,high_support_mass,19317,0.0003327677045401378,0.0002218760815685857,0.0002773086898197441,0.00023255424829510043,0.7656162744315915
0.5,high_support_mass,19317,0.0011612716776281174,0.00048587691006595065,0.0011388865553075167,0.00043048394044313434,0.5263661747108097
0.75,high_support_mass,19317,0.0033525953785738414,0.0007032257403764728,0.0031954223523546375,0.0007148193126058772,0.2619864379736737
1.0,high_support_mass,19317,0.0033911748647957873,0.0006569228435037293,0.020441510464946844,0.0010528201990784355,0.0
0.0,multi_concept,33639,0.0,,-3.1152858070981893e-12,,1.0
0.25,multi_concept,33639,0.00022056525990694632,0.00014176814130732176,0.0002270912099689104,0.00011796266224734857,0.7656162744315915
0.5,multi_concept,33639,0.0006729657316342452,0.00018097762744286486,0.0006254872001675071,0.00013970118635907772,0.5263661747108097
0.75,multi_concept,33639,0.0019730965070623,0.0005927994281176423,0.0018030815392193976,0.0005714874719025757,0.2619864379736737
1.0,multi_concept,33639,0.0016285204494770778,0.00046756774195679695,0.013332979003299905,0.0006374399566083888,0.0
0.0,query_seq_top5_q4_high,19249,0.0,,0.0,,1.0
0.25,query_seq_top5_q4_high,19249,0.00012637433677400444,0.00034269290345287124,3.258239404204666e-05,0.0003167981642354761,0.7656162744315915
0.5,query_seq_top5_q4_high,19249,0.000711039838090155,0.0006532143632522703,0.0006529919913996762,0.0005543622310234731,0.5263661747108097
0.75,query_seq_top5_q4_high,19249,0.002547348221788881,0.0013891202907680383,0.002388550029853631,0.001221362753213394,0.2619864379736737
1.0,query_seq_top5_q4_high,19249,0.0008531636681812671,0.0004921859933856092,0.015166255849956923,0.0004748398032516047,0.0
