fraction,seed,item_removed,item_added,sequence_removed,sequence_added,union_edges_original,union_edges_new,union_edges_preserved,union_preservation_rate,trial
0.0,42,0,0,0,0,15575,15575,15575,1.0,0
0.25,292,0,0,3931,3931,15575,15575,11644,0.7476083467094703,0
0.25,105021,0,0,3931,3931,15575,15575,11644,0.7476083467094703,1
0.25,209750,0,0,3931,3931,15575,15575,11644,0.7476083467094703,2
0.25,314479,0,0,3931,3931,15575,15575,11644,0.7476083467094703,3
0.25,419208,0,0,3931,3931,15575,15575,11644,0.7476083467094703,4
0.5,542,0,0,7813,7813,15575,15575,7762,0.49836276083467096,0
0.5,105271,0,0,7813,7813,15575,15575,7762,0.49836276083467096,1
0.5,210000,0,0,7813,7813,15575,15575,7762,0.49836276083467096,2
0.5,314729,0,0,7813,7813,15575,15575,7762,0.49836276083467096,3
0.5,419458,0,0,7813,7813,15575,15575,7762,0.49836276083467096,4
0.75,792,0,0,11721,11721,15575,15575,3854,0.24744783306581059,0
0.75,105521,0,0,11721,11721,15575,15575,3854,0.24744783306581059,1
0.75,210250,0,0,11721,11721,15575,15575,3854,0.24744783306581059,2
0.75,314979,0,0,11721,11721,15575,15575,3854,0.24744783306581059,3
0.75,419708,0,0,11721,11721,15575,15575,3854,0.24744783306581059,4
1.0,1042,0,0,15575,15575,15575,15575,0,0.0,0
1.0,105771,0,0,15575,15575,15575,15575,0,0.0,1
1.0,210500,0,0,15575,15575,15575,15575,0,0.0,2
1.0,315229,0,0,15575,15575,15575,15575,0,0.0,3
1.0,419958,0,0,15575,15575,15575,15575,0,0.0,4
