dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
assist_09,evidence_support_corruption,0.0,42,all,51090,0.7749625115704916,0.0,0.5306856842312135,-1.2740919430598296e-12,0.7749625115704916,0.5306856842324876,12.95121955871582,True
assist_09,evidence_support_corruption,0.0,42,graph_hits_history,50529,0.7747343984728776,0.0,0.5304816721491253,-1.2884138200774942e-12,0.7747343984728776,0.5304816721504138,12.95121955871582,True
assist_09,evidence_support_corruption,0.0,42,high_support_mass,12637,0.7517428414785654,0.0,0.5042190769861724,0.0,0.7517428414785654,0.5042190769861724,12.95121955871582,True
assist_09,evidence_support_corruption,0.0,42,query_seq_top5_q4_high,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True
assist_09,evidence_support_corruption,0.0,42,multi_concept,8419,0.7517166715298291,0.0,0.548593835244215,-7.733258478026528e-12,0.7517166715298291,0.5485938352519483,12.95121955871582,True
assist_09,evidence_support_corruption,0.25,42,all,51090,0.7702015840193313,0.00476092755116031,0.5354155121490165,0.004729827916528873,0.7749625115704916,0.5306856842324876,9.959349632263184,True
assist_09,evidence_support_corruption,0.25,42,graph_hits_history,50529,0.769820386945874,0.004914011527003659,0.5353445165490692,0.004862844398655475,0.7747343984728776,0.5304816721504138,9.959349632263184,True
assist_09,evidence_support_corruption,0.25,42,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064304707,0.007257029444298291,0.7517428414785654,0.5042190769861724,9.959349632263184,True
assist_09,evidence_support_corruption,0.25,42,query_seq_top5_q4_high,12141,0.7887487141990285,0.009042329519190817,0.5083756427008437,0.012233272353419755,0.7977910437182193,0.4961423703474239,9.959349632263184,True
assist_09,evidence_support_corruption,0.25,42,multi_concept,8419,0.7420374564132071,0.009679215116622064,0.5620485206790725,0.013454685427124247,0.7517166715298291,0.5485938352519483,9.959349632263184,True
assist_09,evidence_support_corruption,0.5,42,all,51090,0.7696546265783222,0.005307884992169387,0.5359610635041964,0.0052753792717087356,0.7749625115704916,0.5306856842324876,7.0731706619262695,True
assist_09,evidence_support_corruption,0.5,42,graph_hits_history,50529,0.7692210094855327,0.0055133889873448805,0.5359141183837065,0.005432446233292754,0.7747343984728776,0.5304816721504138,7.0731706619262695,True
assist_09,evidence_support_corruption,0.5,42,high_support_mass,12637,0.7458760412642558,0.005866800214309631,0.5114286670041802,0.007209590018007805,0.7517428414785654,0.5042190769861724,7.0731706619262695,True
assist_09,evidence_support_corruption,0.5,42,query_seq_top5_q4_high,12141,0.7893282352826649,0.008462808435554359,0.508782001257744,0.012639630910320054,0.7977910437182193,0.4961423703474239,7.0731706619262695,True
