dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
junyi,evidence_support_corruption,0.0,42,all,60494,0.8292766664709184,0.0,0.4940065469246736,0.0,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,evidence_support_corruption,0.0,42,graph_hits_history,60473,0.8291952340613343,0.0,0.4940077317549822,0.0,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,evidence_support_corruption,0.0,42,high_support_mass,15119,0.8180118473606905,0.0,0.4270084703934592,0.0,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,evidence_support_corruption,0.0,42,query_seq_top5_q4_high,14777,0.8432008156918233,0.0,0.40355517865132895,0.0,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,evidence_support_corruption,0.25,42,all,60494,0.8291061076347337,0.00017055883618466439,0.49418142812434707,0.00017488119967346005,0.8292766664709184,0.4940065469246736,17.705883026123047,True
junyi,evidence_support_corruption,0.25,42,graph_hits_history,60473,0.8290194101163044,0.00017582394502990706,0.49419283280619786,0.00018510105121566367,0.8291952340613343,0.4940077317549822,17.705883026123047,True
junyi,evidence_support_corruption,0.25,42,high_support_mass,15119,0.818041335026555,-2.948766586441387e-05,0.4265476344282865,-0.0004608359651726568,0.8180118473606905,0.4270084703934592,17.705883026123047,True
junyi,evidence_support_corruption,0.25,42,query_seq_top5_q4_high,14777,0.843085709598537,0.00011510609328624355,0.4027609275228907,-0.0007942511284382281,0.8432008156918233,0.40355517865132895,17.705883026123047,True
junyi,evidence_support_corruption,0.5,42,all,60494,0.8283738416663636,0.0009028248045547249,0.4927076498399714,-0.0012988970847022108,0.8292766664709184,0.4940065469246736,12.136298179626465,True
junyi,evidence_support_corruption,0.5,42,graph_hits_history,60473,0.8282873985321307,0.0009078355292035933,0.49272127803543425,-0.001286453719547942,0.8291952340613343,0.4940077317549822,12.136298179626465,True
junyi,evidence_support_corruption,0.5,42,high_support_mass,15119,0.8176657217636133,0.00034612559707725143,0.42513475114138316,-0.0018737192520760226,0.8180118473606905,0.4270084703934592,12.136298179626465,True
junyi,evidence_support_corruption,0.5,42,query_seq_top5_q4_high,14777,0.8427798652017564,0.0004209504900668515,0.4014222963553241,-0.0021328822960048344,0.8432008156918233,0.40355517865132895,12.136298179626465,True
junyi,evidence_support_corruption,0.75,42,all,60494,0.8273536789079892,0.0019229875629291904,0.49167135655751243,-0.0023351903671611773,0.8292766664709184,0.4940065469246736,6.529411792755127,True
junyi,evidence_support_corruption,0.75,42,graph_hits_history,60473,0.8272702672942345,0.001924966767099856,0.4916828843711005,-0.0023248473838816675,0.8291952340613343,0.4940077317549822,6.529411792755127,True
junyi,evidence_support_corruption,0.75,42,high_support_mass,15119,0.8163220983644127,0.001689748996277829,0.42464248190542925,-0.0023659884880299353,0.8180118473606905,0.4270084703934592,6.529411792755127,True
