case_id,rank,query_concept,support_concept,query_mapped,support_mapped,crg_weight,item_prior,seq_prior,source,is_self
CRG01_row131,1,C13,C13,13,13,0.050168439745903015,0.0,0.0,self,1
CRG01_row131,1,C13,C749,13,620,0.047774285078048706,0.0,0.029194774106144905,seq,0
CRG01_row131,1,C13,C487,13,408,0.04754451662302017,0.0,0.020306754857301712,seq,0
CRG01_row131,1,C13,C728,13,600,0.04754353314638138,0.0,0.020575974136590958,seq,0
CRG01_row131,1,C13,C442,13,372,0.046065837144851685,0.0,0.019617507234215736,seq,0
CRG01_row131,1,C13,C633,13,535,0.045069411396980286,0.0,0.030320605263113976,seq,0
CRG01_row131,1,C13,C727,13,599,0.04416068643331528,0.0,0.028501102700829506,seq,0
CRG01_row131,1,C13,C235,13,196,0.044102996587753296,0.0,0.01411304622888565,seq,0
CRG02_row55666,2,C567,C633,473,535,0.09093596041202545,0.0,0.028557229787111282,seq,0
CRG02_row55666,2,C567,C31,473,27,0.07635362446308136,0.0,0.022320924326777458,seq,0
CRG02_row55666,2,C567,C487,473,408,0.05466112494468689,0.0,0.015356896445155144,seq,0
CRG02_row55666,2,C567,C749,473,620,0.05362686514854431,0.0,0.015029702335596085,seq,0
CRG02_row55666,2,C567,C727,473,599,0.05161697790026665,0.0,0.01558711752295494,seq,0
CRG02_row55666,2,C567,C492,473,411,0.0510333776473999,0.0,0.016165005043148994,seq,0
CRG02_row55666,2,C567,C567,473,473,0.05018061399459839,0.0,0.0,self,1
CRG02_row55666,2,C567,C728,473,600,0.04244081303477287,0.0,0.012228734791278839,seq,0
CRG03_row40886,3,C644,C644,543,543,0.05028265714645386,0.0,0.0,self,1
CRG03_row40886,3,C644,C487,543,408,0.04493940249085426,0.0,0.048414669930934906,seq,0
CRG03_row40886,3,C644,C728,543,600,0.04493847116827965,0.0,0.03136847913265228,seq,0
CRG03_row40886,3,C644,C633,543,535,0.042599909007549286,0.0,0.04822487011551857,seq,0
CRG03_row40886,3,C644,C748,543,619,0.04209306091070175,0.0,0.030612854287028313,seq,0
CRG03_row40886,3,C644,C196,543,163,0.041979506611824036,0.0,0.038884639739990234,seq,0
CRG03_row40886,3,C644,C727,543,599,0.041740983724594116,0.0,0.03574417158961296,seq,0
CRG03_row40886,3,C644,C557,543,464,0.04159829020500183,0.0,0.021952589973807335,seq,0
