case_id,rank,stu_id,eval_row_id,query_concept,support_concept,query_mapped,support_mapped,a_prior,e_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
EC01_row9062,1,1477,9062,C79,C31,71,27,0.053935931995511055,0.08832202479243279,0.03438609279692173,0.12237024307250977,0.2979733943939209,1.0,0.0,0.02073593996465206,seq,0
EC01_row9062,1,1477,9062,C79,C442,71,372,0.04758412204682827,0.07706350088119507,0.0294793788343668,0.12749910354614258,0.30941081047058105,1.0,0.0,0.0177153330296278,seq,0
EC01_row9062,1,1477,9062,C79,C749,71,620,0.058281052857637405,0.06979947537183762,0.01151842251420021,0.15684294700622559,0.37351441383361816,1.0,0.0,0.020577406510710716,seq,0
EC01_row9062,1,1477,9062,C79,C728,71,600,0.04557799734175205,0.062230728566646576,0.016652731224894524,0.0,0.0,0.0,0.0,0.01656397432088852,seq,0
EC01_row9062,1,1477,9062,C79,C727,71,599,0.03782500885426998,0.0620132889598608,0.02418828010559082,0.12229084968566895,0.2977938652038574,1.0,0.0,0.014966669492423534,seq,0
EC01_row9062,1,1477,9062,C79,C443,71,373,0.04164576716721058,0.061558619141578674,0.019912851974368095,0.1230618953704834,0.29952216148376465,1.0,0.0,0.015931621193885803,seq,0
EC01_row9062,1,1477,9062,C79,C32,71,28,0.04171706363558769,0.05697384849190712,0.015256784856319427,0.12676072120666504,0.3077709674835205,1.0,0.0,0.016348477452993393,seq,0
EC01_row9062,1,1477,9062,C79,C236,71,197,0.03319344110786915,0.04895081743597984,0.015757376328110695,0.1234750747680664,0.3004469871520996,1.0,0.0,0.013588090427219868,seq,0
EC02_row52068,2,8594,52068,C79,C31,71,27,0.053935931995511055,0.09003696590662003,0.03610103391110897,0.0,0.0,0.0,0.0,0.02073593996465206,seq,0
EC02_row52068,2,8594,52068,C79,C442,71,372,0.04758412204682827,0.07919398695230484,0.03160986490547657,0.12749910354614258,0.30941081047058105,1.0,0.0,0.0177153330296278,seq,0
EC02_row52068,2,8594,52068,C79,C728,71,600,0.04557799734175205,0.07028059661388397,0.02470259927213192,0.12743520736694336,0.30927133560180664,1.0,0.0,0.01656397432088852,seq,0
EC02_row52068,2,8594,52068,C79,C749,71,620,0.058281052857637405,0.06869351863861084,0.010412465780973434,0.0,0.0,0.0,0.0,0.020577406510710716,seq,0
EC02_row52068,2,8594,52068,C79,C443,71,373,0.04164576716721058,0.06576834619045258,0.024122579023241997,0.1230618953704834,0.29952216148376465,1.0,0.0,0.015931621193885803,seq,0
EC02_row52068,2,8594,52068,C79,C32,71,28,0.04171706363558769,0.06321317702531815,0.021496113389730453,0.12676072120666504,0.3077709674835205,1.0,0.0,0.016348477452993393,seq,0
EC02_row52068,2,8594,52068,C79,C727,71,599,0.03782500885426998,0.06313947588205338,0.025314467027783394,0.12229084968566895,0.2977938652038574,1.0,0.0,0.014966669492423534,seq,0
EC02_row52068,2,8594,52068,C79,C487,71,408,0.05883926711976528,0.05564458668231964,-0.0031946804374456406,0.13673686981201172,0.32983410358428955,1.0,0.0,0.022664569318294525,seq,0
EC03_row17555,3,2908,17555,C79,C749,71,620,0.058281052857637405,0.09050573036074638,0.03222467750310898,0.15684294700622559,0.37351441383361816,1.0,0.0,0.020577406510710716,seq,0
EC03_row17555,3,2908,17555,C79,C31,71,27,0.053935931995511055,0.0859588086605072,0.03202287666499615,0.12237024307250977,0.2979733943939209,1.0,0.0,0.02073593996465206,seq,0
EC03_row17555,3,2908,17555,C79,C442,71,372,0.04758412204682827,0.0762321688234806,0.028648046776652336,0.12749910354614258,0.30941081047058105,1.0,0.0,0.0177153330296278,seq,0
EC03_row17555,3,2908,17555,C79,C727,71,599,0.03782500885426998,0.0600077249109745,0.02218271605670452,0.12229084968566895,0.2977938652038574,1.0,0.0,0.014966669492423534,seq,0
EC03_row17555,3,2908,17555,C79,C728,71,600,0.04557799734175205,0.05852913670241833,0.012951139360666275,0.12743520736694336,0.30927133560180664,1.0,0.0,0.01656397432088852,seq,0
EC03_row17555,3,2908,17555,C79,C443,71,373,0.04164576716721058,0.05813451297581196,0.01648874580860138,0.1230618953704834,0.29952216148376465,1.0,0.0,0.015931621193885803,seq,0
EC03_row17555,3,2908,17555,C79,C32,71,28,0.04171706363558769,0.054048363119363785,0.012331299483776093,0.12676072120666504,0.3077709674835205,1.0,0.0,0.016348477452993393,seq,0
EC03_row17555,3,2908,17555,C79,C495,71,414,0.02885065320879221,0.04934396594762802,0.02049331273883581,0.0,0.0,0.0,0.0,0.012460554018616676,seq,0
