case_id,rank,query_concept,support_concept,query_mapped,support_mapped,crg_prior,lcrf_posterior,delta,student_support_mastery_logit,student_support_recent_logit,student_support_count,item_prior,seq_prior,source,is_self
LCRF01_row3343,1,C567,C31,473,27,0.07635362818837166,0.11400456354022026,0.0376509353518486,0.12237024307250977,0.2979733943939209,1.0,0.0,0.022320924326777458,seq,0
LCRF01_row3343,1,C567,C727,473,599,0.05161697790026665,0.0765400379896164,0.024923060089349747,0.12229084968566895,0.2977938652038574,1.0,0.0,0.01558711752295494,seq,0
LCRF01_row3343,1,C567,C487,473,408,0.05466112494468689,0.07353035733103752,0.01886923238635063,0.13673686981201172,0.32983410358428955,1.0,0.0,0.015356896445155144,seq,0
LCRF01_row3343,1,C567,C442,473,372,0.042253127321600914,0.06430955976247787,0.02205643244087696,0.12749910354614258,0.30941081047058105,1.0,0.0,0.012531205080449581,seq,0
LCRF01_row3343,1,C567,C728,473,600,0.04244081303477287,0.06307684257626534,0.020636029541492462,0.12743520736694336,0.30927133560180664,1.0,0.0,0.012228734791278839,seq,0
LCRF01_row3343,1,C567,C633,473,535,0.09093595668673515,0.058085545897483826,-0.03285041078925133,0.15419697761535645,0.3678245544433594,1.0,0.0,0.028557229787111282,seq,0
LCRF01_row3343,1,C567,C749,473,620,0.05362686701118946,0.05480366200208664,0.0011767949908971786,0.15684294700622559,0.37351441383361816,1.0,0.0,0.015029702335596085,seq,0
LCRF01_row3343,1,C567,C444,473,374,0.038361264392733574,0.05327552929520607,0.014914264902472496,0.0,9.5367431640625e-07,0.0,0.0,0.011728279292583466,seq,0
LCRF02_row33245,2,C169,C442,140,372,0.05200411379337311,0.08363983035087585,0.03163571655750275,0.12749910354614258,0.30941081047058105,1.0,0.0,0.02110990136861801,seq,0
LCRF02_row33245,2,C169,C749,140,620,0.04464801028370857,0.07180901244282722,0.027161002159118652,0.15684294700622559,0.37351441383361816,1.0,0.0,0.015406720340251923,seq,0
LCRF02_row33245,2,C169,C31,140,27,0.04900499805808067,0.07147887721657753,0.022473879158496857,0.12237024307250977,0.2979733943939209,1.0,0.0,0.018102504312992096,seq,0
LCRF02_row33245,2,C169,C726,140,598,0.04861948825418949,0.06788143143057823,0.01926194317638874,0.1540461778640747,0.3674992322921753,1.0,0.0,0.02277245931327343,seq,0
LCRF02_row33245,2,C169,C487,140,408,0.05367341451346874,0.06684915721416473,0.013175742700695992,0.13673686981201172,0.32983410358428955,1.0,0.0,0.02543863095343113,seq,0
LCRF02_row33245,2,C169,C727,140,599,0.04645691625773907,0.06460912525653839,0.018152208998799324,0.12229084968566895,0.2977938652038574,1.0,0.0,0.01713908277451992,seq,0
LCRF02_row33245,2,C169,C495,140,414,0.04009629972279072,0.06246301718056202,0.0223667174577713,0.24938011169433594,0.5626281499862671,1.0,0.0,0.01594855822622776,seq,0
LCRF02_row33245,2,C169,C633,140,535,0.05087924376130104,0.062258919700980186,0.011379675939679146,0.15419697761535645,0.3678245544433594,1.0,0.0,0.02386215329170227,seq,0
LCRF03_row54992,3,C425,C31,356,27,0.05510791949927807,0.07657043635845184,0.021462516859173775,0.0,0.0,0.0,0.0,0.03171312436461449,seq,0
LCRF03_row54992,3,C425,C727,356,599,0.04982510022819042,0.0730154775083065,0.02319037728011608,0.12229084968566895,0.2977938652038574,1.0,0.0,0.01763891614973545,seq,0
LCRF03_row54992,3,C425,C196,356,163,0.05549023672938347,0.06645113229751587,0.0109608955681324,0.15279734134674072,0.36480772495269775,1.0,0.0,0.019335081800818443,seq,0
LCRF03_row54992,3,C425,C487,356,408,0.05976845510303974,0.06223552115261555,0.0024670660495758057,0.0,0.0,0.0,0.0,0.019517965614795685,seq,0
LCRF03_row54992,3,C425,C157,356,130,0.05401958338916302,0.05777505598962307,0.0037554726004600525,0.1404348611831665,0.3379455804824829,1.0,0.0,0.022030942142009735,seq,0
LCRF03_row54992,3,C425,C557,356,464,0.03281012549996376,0.054339222609996796,0.021529097110033035,0.0,0.0,0.0,0.0,0.012147126719355583,seq,0
LCRF03_row54992,3,C425,C89,356,81,0.02719174511730671,0.04788510873913765,0.02069336362183094,0.0,0.0,0.0,0.0,0.010445681400597095,seq,0
LCRF03_row54992,3,C425,C32,356,28,0.031919775530695915,0.04728289879858494,0.015363123267889023,0.12676072120666504,0.3077709674835205,1.0,0.0,0.011815180070698261,seq,0
