dataset,candidate_type,query_concept_id,support_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,posterior_variability_check_passed,score
assist_09,same_query_concept,29,12;14;17;18;20;23;29;48;49;51;98;99,12,1099,320,296,742,357,True,True,0.17253229042437757,0.007342378017334533,True,2.7712750163739854
assist_09,same_query_concept,78,30;38;42;48;49;55;78;79;80;81;82;98,12,364,320,204,304,60,True,True,0.15981266113370493,0.008540460686963442,True,2.7262755017953992
assist_09,same_query_concept,26,20;26;30;42;46;55;79;81;82;89;98;99,12,321,320,185,225,96,True,True,0.1169249292480386,0.006405363608332973,True,2.6651210510526906
assist_09,same_query_concept,20,6;13;14;20;29;48;56;81;96;98;99;102,12,1288,320,228,830,458,True,True,0.10533416881235912,0.0035976946869022927,True,2.6630971479153924
assist_09,same_query_concept,2,2;14;20;29;30;42;48;49;79;82;98;99,12,257,257,132,180,77,True,True,0.13490729455313516,0.004970216655762038,True,2.643823073998359
assist_09,same_query_concept,12,0;6;9;12;13;14;18;20;29;48;58;98,12,531,320,184,291,240,True,True,0.10006040916240164,0.0043566025785805205,True,2.6395224019845562
assist_09,same_query_concept,93,7;30;44;82;87;88;89;90;93;94;98;99;101,13,252,252,149,149,103,True,True,0.1171029376114006,0.004958582608456219,True,2.6380007974548514
assist_09,same_query_concept,59,30;33;42;45;55;58;59;79;81;82;96;97;98,13,283,283,150,180,103,True,True,0.11593708322549426,0.003950621276169946,True,2.6334675520116666
assist_09,same_query_concept,17,14;17;18;29;30;33;37;49;79;81;82;98;106,13,113,113,103,105,8,True,True,0.13267452908589797,0.006988045873641076,True,2.6250658024945994
assist_09,same_query_concept,62,7;9;20;30;33;61;62;66;79;82;98;99;106,13,33,33,31,21,12,True,True,0.21605489114658138,0.012977366862403084,True,2.6145379488761664
assist_09,same_query_concept,25,15;16;18;20;25;26;30;79;82;89;98;99;106,13,198,198,127,123,75,True,True,0.1054410298144648,0.005358268757055012,True,2.612077131234647
assist_09,same_query_concept,21,20;21;30;33;42;44;49;79;80;81;82;98;99,13,48,48,46,46,2,True,True,0.170909392783184,0.008308149983494576,True,2.5891567528881683
assist_09,same_query_concept,19,6;14;18;19;20;29;30;33;79;82;98;100,12,35,35,30,31,4,True,True,0.1812898545775656,0.009792769468521104,True,2.563859652900165
