dataset,candidate_type,query_key,query_item_id,query_concept_id,support_signature,support_concepts_signature,support_size,n_total,n_records_sampled,n_learners,n_positive,n_negative,has_both_labels,support_identical_check_passed,mean_pairwise_l1,mean_pairwise_js,cheap_variability,posterior_variability_check_passed,score
nips34,same_query_concept_slot,8,,8,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,58;59;57;35;8;1;2;0;20;14;4;54;45;74;60;38;16;33;56;17;46;23;61;9;58;59;57;35;8;1;2;0;20;14;4;54;38;16;74;45;60;33;56;17;23;46;61;18;58;59;57;35;8;1;2;0;20;14;4;54;45;74;38;60;16;33;56;17;46;23;61;9;58;59;57;35;8;1;2;0;20;14;4;54;38;16;74;45;60;33;56;17;23;46;61;18,96,19225,320,3736,11295,7930,True,True,0.05240123385229797,0.001421183979343547,0.0399698945768428,False,2.880689812718221
nips34,same_query_concept_slot,20,,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,45;46;44;19;47;20;84;18;0;14;4;54;8;35;58;74;38;60;16;28;23;26;2;17;45;46;44;19;47;20;84;18;0;14;4;8;54;35;58;28;38;26;16;74;23;60;17;2;45;46;44;19;47;20;84;18;0;14;4;54;8;35;58;74;38;16;28;60;23;26;2;17;45;46;44;19;47;20;84;18;0;14;4;8;54;35;58;28;38;26;16;74;23;60;2;17,96,19002,320,3507,10531,8471,True,True,0.0434893635891116,0.0007772830094786171,0.03432839938122446,False,2.8628786309762337
nips34,same_query_concept_slot,4,,4,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,60;61;62;4;1;0;20;14;54;35;8;58;45;74;38;16;33;56;2;46;59;17;53;57;60;61;62;1;4;0;20;14;54;35;8;58;38;33;45;56;16;74;2;59;46;57;17;53;60;61;62;4;1;0;20;14;54;35;8;58;45;74;38;16;33;56;2;59;46;57;17;53;60;61;62;1;4;0;20;14;54;35;8;58;33;38;45;16;56;74;2;59;46;17;57;53,96,14291,320,3734,8244,6047,True,True,0.03296682703134094,0.0003589072676940285,0.025846784877801184,False,2.856952765858809
nips34,same_query_concept_slot,59,,59,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,8;35;58;2;59;1;0;20;14;4;54;45;74;38;60;16;33;46;17;56;57;23;61;9;8;35;58;2;59;1;0;20;14;4;54;38;16;74;60;45;33;57;56;17;23;46;61;18;8;35;58;2;59;1;0;20;14;4;54;45;74;38;16;60;57;33;17;46;56;23;61;9;8;35;58;2;59;1;0;20;14;4;54;38;16;74;60;45;33;56;17;57;23;46;61;18,96,9498,320,3042,4420,5078,True,True,0.04936334809641911,0.0006552342352524903,0.035500791264726314,False,2.8540442000271264
nips34,same_query_concept_slot,0,,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103,1;20;0;4;6;8;18;35;58;14;54;42;9;80;60;59;23;61;21;2;45;38;16;17;13;40;1;20;4;0;8;18;6;35;58;54;14;42;80;9;60;59;23;61;2;45;21;38;16;17;13;40;1;20;0;4;6;8;18;35;58;14;54;42;9;80;60;59;23;61;21;2;45;38;16;17;13;40;1;20;4;0;8;18;6;35;58;54;14;42;80;9;60;59;23;61;2;45;21;38;16;17;13;40,104,23741,320,4277,12390,11351,True,True,0.01444693460193546,0.0002265271340457275,0.010826028802411226,False,2.851477132102353
nips34,same_query_concept_slot,35,,35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,54;2;8;53;35;59;1;0;55;20;14;4;58;45;60;74;33;38;16;56;46;17;57;61;54;2;8;53;35;1;59;0;55;20;4;14;58;60;33;56;45;38;16;74;17;57;46;61;54;2;8;53;35;59;1;0;55;20;14;4;58;45;60;74;38;33;56;16;46;57;17;61;54;2;8;53;35;1;59;0;55;20;4;14;58;60;33;56;45;38;16;74;17;46;57;61,96,15026,320,3470,8775,6251,True,True,0.014921063264992375,9.312443823113679e-05,0.010633893326591315,False,2.830513362604096
nips34,same_query_concept_slot,0,,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,1;20;0;4;6;8;18;35;58;14;54;42;9;80;60;59;23;61;21;2;45;38;16;17;81;1;20;4;0;8;18;6;35;58;54;14;42;80;9;60;59;23;61;2;45;21;38;16;17;81;1;20;0;4;6;8;18;35;58;14;54;42;9;80;60;59;23;61;21;2;45;38;16;17;81;1;20;4;0;8;18;6;35;58;54;14;42;80;9;60;59;23;61;2;45;21;38;16;17;81,100,10147,320,3404,5193,4954,True,True,0.015235789762546734,0.00024393536770276665,0.01154602812562485,False,2.8295115530917188
nips34,same_query_concept_slot,2,,2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,35;8;59;2;1;0;20;14;4;54;58;45;60;74;38;16;33;56;46;17;57;53;61;9;35;8;59;2;1;0;20;4;14;54;58;60;38;45;16;74;33;56;57;17;46;61;53;18;35;8;59;2;1;0;20;14;4;54;58;45;60;74;38;16;33;56;46;57;17;53;61;9;35;8;59;2;1;0;20;4;14;54;58;60;45;38;16;74;33;56;17;46;57;53;61;18,96,7514,320,3110,4028,3486,True,True,0.01322382905112679,4.759110888712927e-05,0.010769450573830174,False,2.8176841431764386
nips34,same_query_concept_slot,14,,14,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,74;17;14;9;0;20;4;8;54;58;35;45;38;16;60;28;33;46;56;2;59;57;61;1;74;17;14;9;0;20;4;8;54;58;35;38;16;45;28;60;33;56;59;2;57;46;61;1;74;17;14;9;0;20;4;8;54;35;58;45;38;16;60;28;33;59;46;56;57;2;61;1;74;17;14;9;0;20;4;8;58;54;35;38;16;45;28;60;33;56;2;59;46;57;61;1,96,3746,320,1801,1544,2202,True,True,0.0058517243231804685,7.989521535382854e-06,0.00469823315326944,False,2.75554892622615
nips34,same_query_concept_slot,38,,38,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95,16;38;9;0;20;14;4;8;54;35;58;45;74;60;17;33;46;56;2;59;23;57;61;1;16;38;9;0;20;14;4;8;54;35;58;74;45;60;17;33;56;59;2;23;46;57;61;1;16;38;9;0;20;14;4;8;54;35;58;45;74;60;17;33;56;59;46;2;57;23;61;1;16;38;9;0;20;14;4;8;54;58;35;74;45;60;17;33;56;2;59;23;46;57;61;1,96,3901,320,1896,1438,2463,True,True,0.0007020316626111388,4.769372410029307e-06,0.0005775909589390004,False,2.7555240061457527
