step,dataset,exit_code,output_dir
data_phenomenon,"assist_09,junyi,assist_17,nips34",0,results/crg_lcrf_small_core_20260519/data_phenomenon
crg_retrieval,assist_09,0,results/crg_lcrf_small_core_20260519/crg_retrieval/assist_09
crg_support_corruption,assist_09,0,results/crg_lcrf_small_core_20260519/crg_support_corruption/assist_09
lcrf_case_studies,assist_09,0,results/crg_lcrf_small_core_20260519/lcrf_case_studies/assist_09
crg_retrieval,junyi,0,results/crg_lcrf_small_core_20260519/crg_retrieval/junyi
crg_support_corruption,junyi,0,results/crg_lcrf_small_core_20260519/crg_support_corruption/junyi
lcrf_case_studies,junyi,0,results/crg_lcrf_small_core_20260519/lcrf_case_studies/junyi
crg_retrieval,assist_17,0,results/crg_lcrf_small_core_20260519/crg_retrieval/assist_17
crg_support_corruption,assist_17,0,results/crg_lcrf_small_core_20260519/crg_support_corruption/assist_17
lcrf_case_studies,assist_17,0,results/crg_lcrf_small_core_20260519/lcrf_case_studies/assist_17
lcrf_case_studies,nips34,0,results/crg_lcrf_small_core_20260519/lcrf_case_studies/nips34
