dataset,train_size,num_concepts,single_concept_rate,multi_concept_rate,item_edge_density,seq_edge_density,history_len_median,direct_unseen_rate,bridge_only_rate,recommended_role,run_priority,reason
assist_12,262479,68,1.0,0.0,0.0,0.4312993854258121,23.0,0.33986443281173706,0.3398644626140594,core_crg,1,single-concept with near-zero item graph and high bridge-only rate; strong CRG reachability setting
assist_12_clean15_item50,1502148,190,1.0,0.0,0.0,0.3195488721804511,52.0,0.39922720193862915,0.3951101005077362,core_crg,1,single-concept with near-zero item graph and high bridge-only rate; strong CRG reachability setting
assist_15,556847,100,1.0,0.0,0.0,0.6282828282828283,16.0,0.517844170331955,0.5178191065788269,core_crg,1,single-concept with near-zero item graph and high bridge-only rate; strong CRG reachability setting
junyi,235446,697,1.0,0.0,0.0,0.2518985306485924,25.0,1.0,0.999652862548828,core_crg,2,single-concept with near-zero item graph and high bridge-only rate; strong CRG reachability setting
junyi_long,235446,697,1.0,0.0,0.0,0.2518985306485924,25.0,1.0,0.999652862548828,core_crg,2,single-concept with near-zero item graph and high bridge-only rate; strong CRG reachability setting
assist_09,190623,123,0.8283402708565399,0.1716597291434601,0.0086632013861122,0.6433426629348261,41.0,0.031004130840301625,0.0310041103512048,balanced_main,3,balanced benchmark with both item and sequence evidence; useful for CRG/LCRF mechanisms
assist_17,282340,101,0.7825236387349201,0.2174763612650798,0.0617821782178217,0.7634653465346535,148.0,0.027814805507660023,0.0278148092329502,core_lcrf,3,long-history benchmark with strong sequence support; useful for CRG necessity and LCRF counterfactual/case evidence
cdbd_a0910,180148,120,0.8280780338303767,0.1719219661696233,0.0091036414565826,0.6728291316526611,44.0,0.030599355697631836,0.0305993389338254,balanced_main,3,balanced benchmark with both item and sequence evidence; useful for CRG/LCRF mechanisms
ednet_kt1,263506,146,0.5698005698005698,0.4301994301994302,0.038923004251299,0.9763344355219652,1359.0,0.007984220981598011,0.0079842237755656,appendix_contrast,40,contrast dataset; not a sparse reachability main claim
frcsub,8576,8,0.15000000000000002,0.85,0.75,1.0,16.0,0.0,0.0,appendix_contrast,40,contrast dataset; not a sparse reachability main claim
math2,46932,16,0.0,1.0,0.3,1.0,12.0,0.010738968849182018,0.0107389418408274,appendix_contrast,40,contrast dataset; not a sparse reachability main claim
nips34_l3,1104293,57,0.9852320675105486,0.0147679324894514,0.0031328320802005,0.9721177944862156,191.0,0.01575946807861317,0.0157594662159681,appendix_contrast,40,contrast dataset; not a sparse reachability main claim
junyi_sample,91256,39,1.0,0.0,0.0,0.9730094466936572,27.0,0.07985317707061756,0.0798531845211982,appendix_contrast,60,does not strongly match sparse reachability; keep as data-card contrast unless later evidence is strong
cdbd_lsat,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,skip,99,"profile status=ValueError: num_concepts must be positive, got 0; skip until data format is fixed"
