dataset,variant,checkpoint_dir,exists,action
assist_09,full,checkpoints/abce_diag/recover_ed553d3_assist09_gpu2_20260518_140623/assist_09/seed42/best_full,True,reuse_inference
assist_09,no_A,checkpoints/abce_diag/recover_ed553d3_assist09_gpu2_20260518_140623/assist_09/seed42/best_no_A,True,reuse_inference
assist_09,no_E,checkpoints/abce_diag/recover_ed553d3_assist09_gpu2_20260518_140623/assist_09/seed42/best_no_E,True,reuse_inference
junyi,full,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/junyi/seed42/best_full,True,reuse_inference
junyi,no_A,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/junyi/seed42/best_no_A,True,reuse_inference
junyi,no_E,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/junyi/seed42/best_no_E,True,reuse_inference
assist_17,full,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/assist_17/seed42/best_full,True,reuse_inference
assist_17,no_A,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/assist_17/seed42/best_no_A,True,reuse_inference
assist_17,no_E,checkpoints/abce_diag/recover_ed553d3_junyi17_gpu3_20260519_004530/assist_17/seed42/best_no_E,True,reuse_inference
assist_12,full,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_12,no_A,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_12,no_E,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_15,full,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_15,no_A,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_15,no_E,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_12_clean15_item50,full,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_12_clean15_item50,no_A,,False,missing_checkpoint_skip_or_train_if_new_candidate
assist_12_clean15_item50,no_E,,False,missing_checkpoint_skip_or_train_if_new_candidate
