dataset,script,input,output,checkpoint,retrained,train_only_support_check,main_text_recommended,notes
assist_09,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
assist_09,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
junyi,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
junyi,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
assist_17,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
assist_17,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
assist_12,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
assist_12,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
assist_15,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
assist_15,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
assist_12_clean15_item50,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,dataset_story_cards
assist_12_clean15_item50,tools/run_crg_lcrf_story_extension_20260520.py,profile CSV; train/valid/test split; train-only CRG priors,results/crg_lcrf_story_extension_20260520,,False,True,,crg_retrieval
assist_12,tools/run_mechanism_experiments.py,train/valid/test split; current model config,results/crg_lcrf_story_extension_20260520/main_ablation/assist_12,checkpoints/mechanism/crg_lcrf_story_extension_20260520_ablation/phase2/assist_12/full/best_model.pth,True,True,,phase2 full
assist_12,tools/run_mechanism_experiments.py,train/valid/test split; current model config,results/crg_lcrf_story_extension_20260520/main_ablation/assist_12,checkpoints/mechanism/crg_lcrf_story_extension_20260520_ablation/phase2/assist_12/no_A/best_model.pth,True,True,,phase2 no_CRG
assist_12,tools/run_mechanism_experiments.py,train/valid/test split; current model config,results/crg_lcrf_story_extension_20260520/main_ablation/assist_12,checkpoints/mechanism/crg_lcrf_story_extension_20260520_ablation/phase2/assist_12/no_E/best_model.pth,True,True,,phase2 no_LCRF
assist_15,tools/run_mechanism_experiments.py,train/valid/test split; current model config,results/crg_lcrf_story_extension_20260520/main_ablation/assist_15,checkpoints/mechanism/crg_lcrf_story_extension_20260520_ablation/phase2/assist_15/full/best_model.pth,True,True,,phase2 full
