dataset,channel,a,b
assist_17,0,0.5122881531715393,-0.1928209811449051
assist_17,1,-0.6319117546081543,-1.6933343410491943
assist_17,2,-1.0012019872665405,-2.0583443641662598
assist_17,3,-1.197481393814087,-2.0578136444091797
junyi,0,1.9944067001342773,0.0
junyi,1,1.9944067001342773,0.0
junyi,2,2.351116895675659,0.4152860939502716
junyi,3,2.361469268798828,0.42794522643089294
nips34,0,2.9602646827697754,0.40392589569091797
nips34,1,2.075246572494507,-1.0048346519470215
nips34,2,0.861048698425293,-1.1330314874649048
nips34,3,-0.2772638499736786,-2.1105926036834717
ednet_kt1,0,1.1494474411010742,0.02085045725107193
ednet_kt1,1,1.0155675411224365,-0.06748001277446747
ednet_kt1,2,1.3002320528030396,-0.6380488276481628
ednet_kt1,3,1.4157413244247437,-0.3851415812969208
moocradar,0,1.2493001222610474,-1.1772475242614746
moocradar,1,1.178955078125,-1.4844216108322144
moocradar,2,0.6783639788627625,-1.252744436264038
moocradar,3,-1.0291939973831177,-2.9722213745117188
xes3g5m,0,1.8610880374908447,-0.3826289772987366
xes3g5m,1,2.9460678100585938,0.65899658203125
xes3g5m,2,0.8585151433944702,-1.0242207050323486
xes3g5m,3,0.8939465880393982,-0.9935768246650696
