dataset,event_id,student_id_anonymized,source_concept,query_concept,route_prob,history_size
assist_09,6,S1,67,21,0.010206285864114761,52
assist_09,6,S2,49,21,0.0034805433824658394,52
assist_09,6,S3,51,21,0.001882084645330906,52
assist_09,6,S4,20,21,0.0017093652859330177,52
assist_09,6,S5,48,21,0.001338804722763598,52
assist_09,7,S6,67,21,0.010206285864114761,52
assist_09,7,S7,49,21,0.0034805433824658394,52
assist_09,7,S8,51,21,0.001882084645330906,52
assist_09,7,S9,20,21,0.0017093652859330177,52
assist_09,7,S10,48,21,0.001338804722763598,52
