dataset,subgroup,variant,n_eval,auc,bce,rmse,acc,auc_gap_full_minus_variant,bce_gap_variant_minus_full
assist_09,all,full,51090,0.7783152874552688,0.5231286599918799,0.41776285597913587,0.7407124681933842,0.0,0.0
assist_09,all,no_CRG,51090,0.767132729913772,0.5318471378546998,0.42220918462125534,0.7320414954002741,0.011182557541496774,0.008718477862819984
assist_09,all,no_LCRF,51090,0.7633669337459796,0.5389202965151304,0.4246636173130658,0.7308866705813271,0.014948353709289153,0.015791636523250552
assist_09,all,self_only,51090,0.7677867455667569,0.542469874955183,0.426502286887216,0.7268741436680368,0.010528541888511933,0.0193412149633031
assist_09,all,degree_random_support,51090,0.7778562393461572,0.5233673983337424,0.41791070427823357,0.7403992953611275,0.00045904810911157057,0.00023873834186249887
assist_09,direct_seen,full,49506,0.7757693518440805,0.5276734984479601,0.41991861261950236,0.7376075627196703,0.0,0.0
assist_09,direct_seen,no_CRG,49506,0.7652198377136015,0.5359713941364228,0.4241846152514443,0.7289419464307356,0.010549514130478999,0.00829789568846273
assist_09,direct_seen,no_LCRF,49506,0.7617702730945347,0.5427489090830661,0.42644724727757083,0.7282753605623561,0.013999078749545757,0.015075410635105979
assist_09,direct_seen,self_only,49506,0.76648777972315,0.5458223478020262,0.4280912192077453,0.7244576414980003,0.009281572120930504,0.018148849354066132
assist_09,direct_seen,degree_random_support,49506,0.7753341317600326,0.5278762901539575,0.42004812251724305,0.737243970427827,0.0004352200840478382,0.00020279170599746266
assist_09,direct_unseen,full,1584,0.8264289730249962,0.38108524294218576,0.3436372289986189,0.8377525252525253,0.0,0.0
assist_09,direct_unseen,no_CRG,1584,0.8313761499424261,0.4029485068679727,0.3549711324229906,0.8289141414141414,-0.004947176917429963,0.021863263925786913
assist_09,direct_unseen,no_LCRF,1584,0.8263111246418513,0.4192616514468075,0.3645460860148434,0.8125,0.00011784838314488066,0.03817640850462173
assist_09,direct_unseen,self_only,1584,0.8049412844982728,0.43769239973054636,0.3734500714375262,0.80239898989899,0.021487688526723336,0.05660715678836059
assist_09,direct_unseen,degree_random_support,1584,0.8252259374470603,0.38244744981633755,0.3444875649456188,0.8390151515151515,0.0012030355779358848,0.0013622068741517834
assist_09,direct_unseen_bridgeable,full,1584,0.8264289730249962,0.38108524294218576,0.3436372289986189,0.8377525252525253,0.0,0.0
assist_09,direct_unseen_bridgeable,no_CRG,1584,0.8313761499424261,0.4029485068679727,0.3549711324229906,0.8289141414141414,-0.004947176917429963,0.021863263925786913
assist_09,direct_unseen_bridgeable,no_LCRF,1584,0.8263111246418513,0.4192616514468075,0.3645460860148434,0.8125,0.00011784838314488066,0.03817640850462173
assist_09,direct_unseen_bridgeable,self_only,1584,0.8049412844982728,0.43769239973054636,0.3734500714375262,0.80239898989899,0.021487688526723336,0.05660715678836059
assist_09,direct_unseen_bridgeable,degree_random_support,1584,0.8252259374470603,0.38244744981633755,0.3444875649456188,0.8390151515151515,0.0012030355779358848,0.0013622068741517834
assist_09,weak_direct_evidence,full,3882,0.8099600101103107,0.4169334652194118,0.36298680628270547,0.8160741885625966,0.0,0.0
assist_09,weak_direct_evidence,no_CRG,3882,0.8058643563403083,0.43229953074653626,0.370657404853109,0.8101494075218959,0.004095653770002428,0.01536606552712444
assist_09,weak_direct_evidence,no_LCRF,3882,0.7911833426612986,0.45191362906853955,0.38046938744529935,0.7952086553323029,0.018776667449012074,0.03498016384912772
assist_09,weak_direct_evidence,self_only,3882,0.7946553768197054,0.4482228319196258,0.37834610673311025,0.7962390520350335,0.015304633290605274,0.03128936670021398
assist_09,weak_direct_evidence,degree_random_support,3882,0.8086535307852942,0.41809541718894366,0.36363685995921236,0.8163317877382792,0.0013064793250164852,0.001161951969531838
assist_09,high_route_mass,full,15327,0.7564614869501324,0.5020382042187147,0.4078229686683044,0.7561819012200691,0.0,0.0
assist_09,high_route_mass,no_CRG,15327,0.7483329726738666,0.5079694803138699,0.4104944509121691,0.7518105304364846,0.008128514276265819,0.005931276095155202
assist_09,high_route_mass,no_LCRF,15327,0.7445479731611504,0.5127694267320336,0.41264229287031506,0.7465909832322046,0.011913513788981978,0.010731222513318928
assist_09,high_route_mass,self_only,15327,0.7447053034978126,0.5139155961300585,0.41330177491436426,0.7468519605924187,0.011756183452319768,0.011877391911343849
assist_09,high_route_mass,degree_random_support,15327,0.7558555407609786,0.5024348409731236,0.4081509146840588,0.7546812813988386,0.0006059461891537721,0.00039663675440893
assist_09,low_route_mass,full,15328,0.7844710851314388,0.5417439066160671,0.4269403156148417,0.7249478079331941,0.0,0.0
assist_09,low_route_mass,no_CRG,15328,0.7706664699373345,0.5534634072134136,0.43246069904040896,0.7158141962421712,0.013804615194104364,0.0117195005973465
assist_09,low_route_mass,no_LCRF,15328,0.7664065521668083,0.5652626169352457,0.4359805695205426,0.7130741127348643,0.01806453296463051,0.023518710319178626
assist_09,low_route_mass,self_only,15328,0.7754735337614659,0.5706599523435449,0.43958535324034365,0.7045929018789144,0.008997551369972934,0.028916045727477857
assist_09,low_route_mass,degree_random_support,15328,0.7849125537111667,0.5413057254507212,0.42668717034863657,0.7256654488517745,-0.00044146857972793274,-0.0004381811653458856
