dataset,event_id,variant,mask_type,label,pred_prob,bce,query_concepts_mapped,masked_concepts,counterfactual_scope
assist_09,124,full,original,1.0,0.9425206184387207,0.05919748357169947,52,,student_concept_state_buffers
assist_09,124,full,target_concept_mask,1.0,0.9492784738540649,0.052053084160959766,52,52,student_concept_state_buffers
assist_09,124,full,random_history_mask,1.0,0.9425206184387207,0.05919748357169947,52,21,student_concept_state_buffers
assist_09,129,full,original,1.0,0.9299315810203552,0.07264426433646895,30,,student_concept_state_buffers
assist_09,129,full,target_concept_mask,1.0,0.9566150307655334,0.04435423516281932,30,30,student_concept_state_buffers
assist_09,129,full,random_history_mask,1.0,0.9299315810203552,0.07264426433646895,30,78,student_concept_state_buffers
assist_09,388,full,original,1.0,0.9201747179031372,0.08319171620553789,34,,student_concept_state_buffers
assist_09,388,full,target_concept_mask,1.0,0.9505126476287842,0.05075381085203467,34,34,student_concept_state_buffers
assist_09,388,full,random_history_mask,1.0,0.9201747179031372,0.08319171620553789,34,36,student_concept_state_buffers
assist_09,416,full,original,1.0,0.9254269003868103,0.07750013400282421,82,,student_concept_state_buffers
assist_09,416,full,target_concept_mask,1.0,0.9332300424575806,0.06910354640664383,82,82,student_concept_state_buffers
assist_09,416,full,random_history_mask,1.0,0.9237725734710693,0.0792893702431221,82,37,student_concept_state_buffers
assist_09,487,full,original,1.0,0.7164984941482544,0.33337913339336345,96,,student_concept_state_buffers
assist_09,487,full,target_concept_mask,1.0,0.8171942830085754,0.2018784118920991,96,96,student_concept_state_buffers
assist_09,487,full,random_history_mask,1.0,0.7164984941482544,0.33337913339336345,96,80,student_concept_state_buffers
assist_09,538,full,original,1.0,0.6910693049430847,0.3695151636547097,97,,student_concept_state_buffers
assist_09,538,full,target_concept_mask,1.0,0.8114962577819824,0.20887550352058565,97,97,student_concept_state_buffers
assist_09,538,full,random_history_mask,1.0,0.6910693049430847,0.3695151636547097,97,6,student_concept_state_buffers
assist_09,591,full,original,1.0,0.41609036922454834,0.8768528085998436,"34,35,46",,student_concept_state_buffers
assist_09,591,full,target_concept_mask,1.0,0.7755166888237,0.2542257765149567,"34,35,46","34,35,46",student_concept_state_buffers
assist_09,591,full,random_history_mask,1.0,0.41609036922454834,0.8768528085998436,"34,35,46","22,29,84",student_concept_state_buffers
assist_09,630,full,original,1.0,0.9744131565093994,0.025919879952839106,37,,student_concept_state_buffers
assist_09,630,full,target_concept_mask,1.0,0.9776661396026611,0.022587037776935773,37,37,student_concept_state_buffers
assist_09,630,full,random_history_mask,1.0,0.9743426442146301,0.02599224642869397,37,79,student_concept_state_buffers
assist_09,697,full,original,1.0,0.9065068960189819,0.09815664151447674,97,,student_concept_state_buffers
assist_09,697,full,target_concept_mask,1.0,0.9121798276901245,0.09191812886033958,97,97,student_concept_state_buffers
assist_09,697,full,random_history_mask,1.0,0.9057946801185608,0.09894262100758533,97,30,student_concept_state_buffers
assist_09,698,full,original,1.0,0.8225921392440796,0.19529477921970503,36,,student_concept_state_buffers
assist_09,698,full,target_concept_mask,1.0,0.9091725945472717,0.095220329838955,36,36,student_concept_state_buffers
assist_09,698,full,random_history_mask,1.0,0.8225921392440796,0.19529477921970503,36,48,student_concept_state_buffers
assist_09,861,full,original,1.0,0.7312584519386292,0.312988322296194,53,,student_concept_state_buffers
assist_09,861,full,target_concept_mask,1.0,0.8637065887451172,0.14652216421380135,53,53,student_concept_state_buffers
assist_09,861,full,random_history_mask,1.0,0.7312584519386292,0.312988322296194,53,96,student_concept_state_buffers
assist_09,1006,full,original,0.0,0.8966913819313049,2.2700344787595186,"1,24,31",,student_concept_state_buffers
assist_09,1006,full,target_concept_mask,0.0,0.8566420078277588,1.9424103353485638,"1,24,31","1,24,31",student_concept_state_buffers
assist_09,1006,full,random_history_mask,0.0,0.8966913819313049,2.2700344787595186,"1,24,31","16,21,45",student_concept_state_buffers
assist_09,1028,full,original,0.0,0.9139513969421387,2.4528429905311873,54,,student_concept_state_buffers
assist_09,1028,full,target_concept_mask,0.0,0.9194481372833252,2.5188540446522945,54,54,student_concept_state_buffers
assist_09,1028,full,random_history_mask,0.0,0.9139513969421387,2.4528429905311873,54,56,student_concept_state_buffers
assist_09,1052,full,original,1.0,0.7917406558990479,0.23352139546561881,59,,student_concept_state_buffers
assist_09,1052,full,target_concept_mask,1.0,0.8839396238327026,0.12336651750874938,59,59,student_concept_state_buffers
assist_09,1052,full,random_history_mask,1.0,0.7917406558990479,0.23352139546561881,59,29,student_concept_state_buffers
assist_09,1138,full,original,1.0,0.3108946979045868,1.1683010160847649,"22,43",,student_concept_state_buffers
assist_09,1138,full,target_concept_mask,1.0,0.5924988389015198,0.5234063656346531,"22,43","22,43",student_concept_state_buffers
assist_09,1138,full,random_history_mask,1.0,0.3090241849422455,1.1743357367256984,"22,43","82,86",student_concept_state_buffers
assist_09,1355,full,original,1.0,0.9458521008491516,0.05566906374997154,32,,student_concept_state_buffers
assist_09,1355,full,target_concept_mask,1.0,0.9535171389579773,0.04759787931770462,32,32,student_concept_state_buffers
assist_09,1355,full,random_history_mask,1.0,0.9458521008491516,0.05566906374997154,32,6,student_concept_state_buffers
assist_09,1378,full,original,0.0,0.5787137150764465,0.8644426647080442,30,,student_concept_state_buffers
assist_09,1378,full,target_concept_mask,0.0,0.7863233089447021,1.543291195814664,30,30,student_concept_state_buffers
assist_09,1378,full,random_history_mask,0.0,0.5766916275024414,0.8596543525401648,30,33,student_concept_state_buffers
assist_09,1451,full,original,1.0,0.4699675142765045,0.7550917052274593,48,,student_concept_state_buffers
assist_09,1451,full,target_concept_mask,1.0,0.7229819893836975,0.32437096808289795,48,48,student_concept_state_buffers
assist_09,1451,full,random_history_mask,1.0,0.46923190355300903,0.7566581688771411,48,51,student_concept_state_buffers
assist_09,1533,full,original,1.0,0.9812383055686951,0.018939927848313227,55,,student_concept_state_buffers
assist_09,1533,full,target_concept_mask,1.0,0.9823556542396545,0.01780186283647448,55,55,student_concept_state_buffers
assist_09,1533,full,random_history_mask,1.0,0.9812225699424744,0.018955964474997,55,79,student_concept_state_buffers
assist_09,1653,full,original,1.0,0.6255849003791809,0.46906822626485595,49,,student_concept_state_buffers
assist_09,1653,full,target_concept_mask,1.0,0.8052908182144165,0.2165518019413827,49,49,student_concept_state_buffers
assist_09,1653,full,random_history_mask,1.0,0.625529944896698,0.4691560766851843,49,82,student_concept_state_buffers
assist_09,1680,full,original,1.0,0.5898448824882507,0.5278956876864006,30,,student_concept_state_buffers
assist_09,1680,full,target_concept_mask,1.0,0.797085702419281,0.22679307470664414,30,30,student_concept_state_buffers
assist_09,1680,full,random_history_mask,1.0,0.5780123472213745,0.548160048563227,30,32,student_concept_state_buffers
assist_09,1873,full,original,0.0,0.7503259181976318,1.3875988844310712,"15,16",,student_concept_state_buffers
assist_09,1873,full,target_concept_mask,0.0,0.7790095210075378,1.5096356598744896,"15,16","15,16",student_concept_state_buffers
assist_09,1873,full,random_history_mask,0.0,0.7503259181976318,1.3875988844310712,"15,16","1,29",student_concept_state_buffers
assist_09,2190,full,original,1.0,0.6822651028633118,0.38233698279251754,"34,35,46",,student_concept_state_buffers
assist_09,2190,full,target_concept_mask,1.0,0.6827138662338257,0.38167944388995173,"34,35,46","34,35,46",student_concept_state_buffers
assist_09,2190,full,random_history_mask,1.0,0.6818299293518066,0.38297502268855255,"34,35,46","43,82,83",student_concept_state_buffers
assist_09,2214,full,original,1.0,0.913500964641571,0.09047084718042844,"5,11",,student_concept_state_buffers
assist_09,2214,full,target_concept_mask,1.0,0.9158619046211243,0.08788968482055357,"5,11","5,11",student_concept_state_buffers
assist_09,2214,full,random_history_mask,1.0,0.913500964641571,0.09047084718042844,"5,11","4,79",student_concept_state_buffers
assist_09,2274,full,original,1.0,0.5499542951583862,0.5979201039206179,44,,student_concept_state_buffers
assist_09,2274,full,target_concept_mask,1.0,0.7042092084884644,0.3506797958223076,44,44,student_concept_state_buffers
assist_09,2274,full,random_history_mask,1.0,0.5499542951583862,0.5979201039206179,44,80,student_concept_state_buffers
assist_09,2342,full,original,1.0,0.8956060409545898,0.11025464913223987,37,,student_concept_state_buffers
assist_09,2342,full,target_concept_mask,1.0,0.9448935389518738,0.05668301502847695,37,37,student_concept_state_buffers
assist_09,2342,full,random_history_mask,1.0,0.8956060409545898,0.11025464913223987,37,17,student_concept_state_buffers
assist_09,2479,full,original,1.0,0.6015777587890625,0.5081994771278858,52,,student_concept_state_buffers
assist_09,2479,full,target_concept_mask,1.0,0.7242904901504517,0.322562737577874,52,52,student_concept_state_buffers
assist_09,2479,full,random_history_mask,1.0,0.5953330397605896,0.5186342993372337,52,98,student_concept_state_buffers
assist_09,2516,full,original,0.0,0.9263157248497009,2.607965865505839,20,,student_concept_state_buffers
assist_09,2516,full,target_concept_mask,0.0,0.9590973854064941,3.1965612914850063,20,20,student_concept_state_buffers
assist_09,2516,full,random_history_mask,0.0,0.9263157248497009,2.607965865505839,20,45,student_concept_state_buffers
assist_09,2611,full,original,1.0,0.8585318922996521,0.15253145047071584,82,,student_concept_state_buffers
assist_09,2611,full,target_concept_mask,1.0,0.9160228967666626,0.08771391815025767,82,82,student_concept_state_buffers
assist_09,2611,full,random_history_mask,1.0,0.8585318922996521,0.15253145047071584,82,18,student_concept_state_buffers
assist_09,2630,full,original,1.0,0.8112919926643372,0.20912724938905355,37,,student_concept_state_buffers
assist_09,2630,full,target_concept_mask,1.0,0.8977543115615845,0.10785884325691827,37,37,student_concept_state_buffers
assist_09,2630,full,random_history_mask,1.0,0.8112919926643372,0.20912724938905355,37,67,student_concept_state_buffers
assist_09,2634,full,original,0.0,0.6255365014076233,0.9822609478181367,30,,student_concept_state_buffers
assist_09,2634,full,target_concept_mask,0.0,0.8070787787437439,1.64547335342479,30,30,student_concept_state_buffers
assist_09,2634,full,random_history_mask,0.0,0.6255365014076233,0.9822609478181367,30,61,student_concept_state_buffers
assist_09,2654,full,original,0.0,0.700785219669342,1.206593634601068,"34,35,46",,student_concept_state_buffers
assist_09,2654,full,target_concept_mask,0.0,0.6815903186798096,1.14441641931779,"34,35,46","34,35,46",student_concept_state_buffers
assist_09,2654,full,random_history_mask,0.0,0.7007469534873962,1.2064657541026298,"34,35,46","42,61,78",student_concept_state_buffers
assist_09,2669,full,original,1.0,0.6201207637786865,0.4778410396220132,"22,43",,student_concept_state_buffers
assist_09,2669,full,target_concept_mask,1.0,0.6368013620376587,0.45129750557601833,"22,43","22,43",student_concept_state_buffers
assist_09,2669,full,random_history_mask,1.0,0.615243136882782,0.4857377447788261,"22,43","17,81",student_concept_state_buffers
assist_09,2730,full,original,0.0,0.8545089364051819,1.9276406128491042,81,,student_concept_state_buffers
assist_09,2730,full,target_concept_mask,0.0,0.9242956638336182,2.5809198392494768,81,81,student_concept_state_buffers
assist_09,2730,full,random_history_mask,0.0,0.8545089364051819,1.9276406128491042,81,53,student_concept_state_buffers
assist_09,2746,full,original,1.0,0.8673868775367737,0.1422701761979901,36,,student_concept_state_buffers
assist_09,2746,full,target_concept_mask,1.0,0.8749675750732422,0.13356845037030418,36,36,student_concept_state_buffers
assist_09,2746,full,random_history_mask,1.0,0.8636537790298462,0.14658330920273666,36,44,student_concept_state_buffers
assist_09,2947,full,original,0.0,0.6472952365875244,1.0421239362671804,49,,student_concept_state_buffers
assist_09,2947,full,target_concept_mask,0.0,0.8554843068122864,1.934367173951389,49,49,student_concept_state_buffers
assist_09,2947,full,random_history_mask,0.0,0.6472952365875244,1.0421239362671804,49,56,student_concept_state_buffers
assist_09,2992,full,original,1.0,0.540672779083252,0.6149410277060215,47,,student_concept_state_buffers
assist_09,2992,full,target_concept_mask,1.0,0.6120394468307495,0.4909585429411844,47,47,student_concept_state_buffers
assist_09,2992,full,random_history_mask,1.0,0.540672779083252,0.6149410277060215,47,45,student_concept_state_buffers
assist_09,3111,full,original,1.0,0.8548018932342529,0.15688554071244123,81,,student_concept_state_buffers
assist_09,3111,full,target_concept_mask,1.0,0.9496406316757202,0.05167164840101443,81,81,student_concept_state_buffers
assist_09,3111,full,random_history_mask,1.0,0.8548018932342529,0.15688554071244123,81,53,student_concept_state_buffers
assist_09,3172,full,original,1.0,0.7678701877593994,0.2641345864759778,9,,student_concept_state_buffers
assist_09,3172,full,target_concept_mask,1.0,0.7893440127372742,0.23655304208761246,9,9,student_concept_state_buffers
assist_09,3172,full,random_history_mask,1.0,0.7678701877593994,0.2641345864759778,9,17,student_concept_state_buffers
assist_09,3312,full,original,1.0,0.47188833355903625,0.7510129028291057,8,,student_concept_state_buffers
assist_09,3312,full,target_concept_mask,1.0,0.5679932236671448,0.5656457904956281,8,8,student_concept_state_buffers
assist_09,3312,full,random_history_mask,1.0,0.47188833355903625,0.7510129028291057,8,37,student_concept_state_buffers
assist_09,3370,full,original,1.0,0.6462787985801697,0.4365242915525056,41,,student_concept_state_buffers
assist_09,3370,full,target_concept_mask,1.0,0.82368403673172,0.1939682731769344,41,41,student_concept_state_buffers
assist_09,3370,full,random_history_mask,1.0,0.6462787985801697,0.4365242915525056,41,35,student_concept_state_buffers
assist_09,3816,full,original,1.0,0.9086858630180359,0.09575582977168243,37,,student_concept_state_buffers
assist_09,3816,full,target_concept_mask,1.0,0.9508282542228699,0.05042182767460763,37,37,student_concept_state_buffers
assist_09,3816,full,random_history_mask,1.0,0.9086858630180359,0.09575582977168243,37,24,student_concept_state_buffers
assist_09,4032,full,original,1.0,0.913906991481781,0.09002647257263394,52,,student_concept_state_buffers
assist_09,4032,full,target_concept_mask,1.0,0.9418260455131531,0.059934686518812695,52,52,student_concept_state_buffers
assist_09,4032,full,random_history_mask,1.0,0.913906991481781,0.09002647257263394,52,37,student_concept_state_buffers
assist_09,4109,full,original,1.0,0.7997214198112488,0.22349183719463528,44,,student_concept_state_buffers
assist_09,4109,full,target_concept_mask,1.0,0.8067415952682495,0.2147518661170396,44,44,student_concept_state_buffers
assist_09,4109,full,random_history_mask,1.0,0.7997214198112488,0.22349183719463528,44,38,student_concept_state_buffers
assist_09,4223,full,original,1.0,0.9169464111328125,0.08670624776503676,81,,student_concept_state_buffers
assist_09,4223,full,target_concept_mask,1.0,0.9514360427856445,0.04978281175614397,81,81,student_concept_state_buffers
assist_09,4223,full,random_history_mask,1.0,0.9169464111328125,0.08670624776503676,81,89,student_concept_state_buffers
assist_09,4234,full,original,0.0,0.8254295587539673,1.745426944032027,99,,student_concept_state_buffers
assist_09,4234,full,target_concept_mask,0.0,0.9144374132156372,2.4585071616536296,99,99,student_concept_state_buffers
assist_09,4234,full,random_history_mask,0.0,0.8254295587539673,1.745426944032027,99,33,student_concept_state_buffers
assist_09,4263,full,original,0.0,0.7342599630355835,1.3252367527190507,98,,student_concept_state_buffers
assist_09,4263,full,target_concept_mask,0.0,0.8632903695106506,1.9898960879213465,98,98,student_concept_state_buffers
assist_09,4263,full,random_history_mask,0.0,0.7342599630355835,1.3252367527190507,98,87,student_concept_state_buffers
assist_09,4540,full,original,1.0,0.9099141955375671,0.0944049745349392,56,,student_concept_state_buffers
assist_09,4540,full,target_concept_mask,1.0,0.9224888682365417,0.08067997009251932,56,56,student_concept_state_buffers
assist_09,4540,full,random_history_mask,1.0,0.9059039354324341,0.09882201009242766,56,79,student_concept_state_buffers
assist_09,4579,full,original,1.0,0.884641170501709,0.1225731732543624,79,,student_concept_state_buffers
assist_09,4579,full,target_concept_mask,1.0,0.8927047252655029,0.11349940758185818,79,79,student_concept_state_buffers
assist_09,4579,full,random_history_mask,1.0,0.884641170501709,0.1225731732543624,79,45,student_concept_state_buffers
assist_09,4606,full,original,1.0,0.3125976324081421,1.1628384348937495,30,,student_concept_state_buffers
assist_09,4606,full,target_concept_mask,1.0,0.6391534805297852,0.4476106648227594,30,30,student_concept_state_buffers
assist_09,4606,full,random_history_mask,1.0,0.3123442530632019,1.1636493242411103,30,33,student_concept_state_buffers
assist_09,4717,full,original,1.0,0.19329997897148132,1.6435120015548141,51,,student_concept_state_buffers
assist_09,4717,full,target_concept_mask,1.0,0.3012426793575287,1.1998390953604152,51,51,student_concept_state_buffers
assist_09,4717,full,random_history_mask,1.0,0.19329997897148132,1.6435120015548141,51,60,student_concept_state_buffers
assist_09,4871,full,original,0.0,0.5889738202095032,0.8890983687274234,7,,student_concept_state_buffers
assist_09,4871,full,target_concept_mask,0.0,0.7472801208496094,1.3754736006840902,7,7,student_concept_state_buffers
assist_09,4871,full,random_history_mask,0.0,0.5889738202095032,0.8890983687274234,7,6,student_concept_state_buffers
assist_09,4884,full,original,0.0,0.33024173974990845,0.40083843730000385,51,,student_concept_state_buffers
assist_09,4884,full,target_concept_mask,0.0,0.688169538974762,1.1652956330146396,51,51,student_concept_state_buffers
assist_09,4884,full,random_history_mask,0.0,0.3281404376029968,0.39770594482756605,51,1,student_concept_state_buffers
assist_09,4904,full,original,1.0,0.4582644999027252,0.7803087508584431,30,,student_concept_state_buffers
assist_09,4904,full,target_concept_mask,1.0,0.7802315354347229,0.24816456304593829,30,30,student_concept_state_buffers
assist_09,4904,full,random_history_mask,1.0,0.4334752559661865,0.8359205640534226,30,48,student_concept_state_buffers
assist_09,4980,full,original,1.0,0.8407080769538879,0.17351079347192092,98,,student_concept_state_buffers
assist_09,4980,full,target_concept_mask,1.0,0.9377135038375854,0.06431080963904466,98,98,student_concept_state_buffers
assist_09,4980,full,random_history_mask,1.0,0.8407080769538879,0.17351079347192092,98,40,student_concept_state_buffers
assist_09,5235,full,original,1.0,0.7148510813713074,0.3356810357833303,60,,student_concept_state_buffers
assist_09,5235,full,target_concept_mask,1.0,0.8028827905654907,0.2195465401157561,60,60,student_concept_state_buffers
assist_09,5235,full,random_history_mask,1.0,0.7148510813713074,0.3356810357833303,60,104,student_concept_state_buffers
assist_09,5497,full,original,0.0,0.6222313642501831,0.9734733454926948,48,,student_concept_state_buffers
assist_09,5497,full,target_concept_mask,0.0,0.7819005846977234,1.522804286648039,48,48,student_concept_state_buffers
assist_09,5497,full,random_history_mask,0.0,0.6207345724105835,0.9695189823734455,48,98,student_concept_state_buffers
assist_09,5544,full,original,1.0,0.9240840077400208,0.07895229400564042,99,,student_concept_state_buffers
assist_09,5544,full,target_concept_mask,1.0,0.9798858761787415,0.020319166977517657,99,99,student_concept_state_buffers
assist_09,5544,full,random_history_mask,1.0,0.9240840077400208,0.07895229400564042,99,47,student_concept_state_buffers
assist_09,5561,full,original,1.0,0.5263834595680237,0.6417253212579725,98,,student_concept_state_buffers
assist_09,5561,full,target_concept_mask,1.0,0.7421373128890991,0.29822099513381906,98,98,student_concept_state_buffers
assist_09,5561,full,random_history_mask,1.0,0.5263834595680237,0.6417253212579725,98,45,student_concept_state_buffers
assist_09,5630,full,original,1.0,0.933761715888977,0.06853399547703531,46,,student_concept_state_buffers
assist_09,5630,full,target_concept_mask,1.0,0.967944324016571,0.0325807098715048,46,46,student_concept_state_buffers
assist_09,5630,full,random_history_mask,1.0,0.933761715888977,0.06853399547703531,46,68,student_concept_state_buffers
assist_09,5725,full,original,1.0,0.6460608839988708,0.4368615319642977,98,,student_concept_state_buffers
assist_09,5725,full,target_concept_mask,1.0,0.8419458866119385,0.17203953448684955,98,98,student_concept_state_buffers
assist_09,5725,full,random_history_mask,1.0,0.6460608839988708,0.4368615319642977,98,76,student_concept_state_buffers
assist_09,5728,full,original,0.0,0.6674428582191467,1.1009435786715938,42,,student_concept_state_buffers
assist_09,5728,full,target_concept_mask,0.0,0.8510653972625732,1.9042479771874055,42,42,student_concept_state_buffers
assist_09,5728,full,random_history_mask,0.0,0.6674428582191467,1.1009435786715938,42,63,student_concept_state_buffers
assist_09,5810,full,original,1.0,0.9416302442550659,0.060142603484931,98,,student_concept_state_buffers
