dataset,group,method,n_eval,hit5,hit10,ndcg10,mrr,noisy_or_mean,max_score_mean
assist_17,all,degree-random,77261,0.02466962633152561,0.06259302882437452,0.02498144628679574,0.03693262854222493,0.3694238005108752,0.014502263599317559
assist_17,all,fused CRG,77261,0.27117174253504356,0.3992182342967344,0.22790660389790504,0.2003155581194102,0.5968539116122613,0.17941995418284234
assist_17,all,item-only,77261,0.1938494195001359,0.32898875241065995,0.15500329429502596,0.1288730422504554,0.5709373433271728,0.32120454336401477
assist_17,all,random,77261,0.045508082991418695,0.09197395840074553,0.04148297171117064,0.04857694374875242,0.3697575115613641,0.020173979341475877
assist_17,all,self-only,77261,0.1211607408653784,0.2624739519291751,0.11386374691903946,0.10109454631075722,0.9300811534927066,0.9300811534927066
assist_17,all,seq-only,77261,0.29457294106988,0.4305147487089217,0.24470680509996742,0.2116021490946899,0.6011174920149464,0.062079823976680444
assist_17,direct_seen,degree-random,71859,0.02214058085973921,0.05836429674779777,0.0227785119151725,0.035259669006244665,0.3719798524367841,0.014541476832948718
assist_17,direct_seen,fused CRG,71859,0.2885651066672233,0.4222157280229338,0.2422549251843382,0.2119648722433489,0.6208506068720702,0.1863543570538538
assist_17,direct_seen,item-only,71859,0.20480385198792078,0.34581611210843455,0.16307433123425774,0.13448302183425548,0.5935314831272845,0.3329886556680194
assist_17,direct_seen,random,71859,0.0437384322075175,0.08985652458286367,0.04018747923900064,0.04748854888396827,0.37232575468576173,0.020182114802853823
assist_17,direct_seen,self-only,71859,0.13026899901195396,0.2821775977956832,0.12241524173575928,0.10737927607813562,1.0,1.0
assist_17,direct_seen,seq-only,71859,0.31421255514271,0.45703391363642687,0.2608127559879616,0.22426586527562758,0.6256175520178325,0.06551022376998981
assist_17,direct_unseen,degree-random,5402,0.05831173639392818,0.1188448722695298,0.054285530146565154,0.05918683055925674,0.3354224426167828,0.013980637580157705
assist_17,direct_unseen,fused CRG,5402,0.03980007404664939,0.09329877823028508,0.03704099498975947,0.04535293989799049,0.27764278153551164,0.08717647845014838
assist_17,direct_unseen,item-only,5402,0.048130322102924845,0.1051462421325435,0.04763997637272705,0.05424743637998361,0.2703834203548987,0.16444879992575734
assist_17,direct_unseen,random,5402,0.06904850055534988,0.12014068863383932,0.05871599532421479,0.06305509380216297,0.3355939827431321,0.02006575903063588
assist_17,direct_unseen,self-only,5402,0.0,0.00037023324694557573,0.00010923636097405945,0.017493214145995098,0.0,0.0
assist_17,direct_unseen,seq-only,5402,0.03332099222510181,0.0777489818585709,0.030460687946991076,0.043145655009906636,0.27521045540861655,0.016447632427732204
assist_17,direct_unseen_bridgeable,degree-random,5402,0.05831173639392818,0.1188448722695298,0.054285530146565154,0.05918683055925674,0.3354224426167828,0.013980637580157705
assist_17,direct_unseen_bridgeable,fused CRG,5402,0.03980007404664939,0.09329877823028508,0.03704099498975947,0.04535293989799049,0.27764278153551164,0.08717647845014838
assist_17,direct_unseen_bridgeable,item-only,5402,0.048130322102924845,0.1051462421325435,0.04763997637272705,0.05424743637998361,0.2703834203548987,0.16444879992575734
assist_17,direct_unseen_bridgeable,random,5402,0.06904850055534988,0.12014068863383932,0.05871599532421479,0.06305509380216297,0.3355939827431321,0.02006575903063588
assist_17,direct_unseen_bridgeable,self-only,5402,0.0,0.00037023324694557573,0.00010923636097405945,0.017493214145995098,0.0,0.0
assist_17,direct_unseen_bridgeable,seq-only,5402,0.03332099222510181,0.0777489818585709,0.030460687946991076,0.043145655009906636,0.27521045540861655,0.016447632427732204
