dataset,event_id,student_id_anonymized,source_concept,query_concept,route_prob,history_size
junyi,0,S1,148,151,0.022058911621570587,18
junyi,0,S2,417,151,0.018165400251746178,18
junyi,0,S3,535,151,0.007877343334257603,18
junyi,0,S4,599,151,0.007723348680883646,18
junyi,0,S5,408,151,0.007540646940469742,18
junyi,1,S6,621,626,0.028324570506811142,18
junyi,1,S7,630,626,0.02349485456943512,18
junyi,1,S8,619,626,0.015617935918271542,18
junyi,1,S9,81,626,0.012049459852278233,18
junyi,1,S10,148,626,0.011823932640254498,18
