dataset,seed,grid_tag,variant,model_variant,test_auc,test_acc,test_rmse,best_val_auc,best_epoch,model_epoch,reg_bce_ratio,delta_over_irt,mf_abs_mean,residual_abs_mean,gate_mean,graph_entropy_ratio,alpha_std,status,exit_code,save_dir,log_dir,log_file,overrides_json
assist_09,42,sparse_0p1,no3,assist_09_m3grid_sparse_0p1_no3,0.7534395014032239,0.7275304953471997,0.4292930403890467,0.7505341642569292,12,12,0.8632,0.0,0.0,0.0,0.0,1.0,0.405,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p1_no3,logs/assist_09_m3grid/seed42/sparse_0p1_no3,logs/assist_09_m3grid/seed42/sparse_0p1_no3/train_20260211_031206.log,"{""ablate_module3"": true, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.1, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,sparse_0p3,no3,assist_09_m3grid_sparse_0p3_no3,0.7546903758755352,0.7273021370530363,0.4287337874900905,0.7508145603318906,13,13,2.5878,0.0,0.0,0.0,0.0,1.0,0.4541,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p3_no3,logs/assist_09_m3grid/seed42/sparse_0p3_no3,logs/assist_09_m3grid/seed42/sparse_0p3_no3/train_20260211_031207.log,"{""ablate_module3"": true, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.3, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,sparse_0p01,no3,assist_09_m3grid_sparse_0p01_no3,0.7562149334399866,0.7299282574359169,0.42927509175554024,0.75237826020943,19,19,0.0836,0.0,0.0,0.0,0.0,1.0,0.4494,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p01_no3,logs/assist_09_m3grid/seed42/sparse_0p01_no3,logs/assist_09_m3grid/seed42/sparse_0p01_no3/train_20260211_031206.log,"{""ablate_module3"": true, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.01, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,baseline,full,assist_09_m3grid_baseline_full,0.7704208447511685,0.7368360958343642,0.4229285210984779,0.7668833607647795,17,17,8.7035,0.2373,1.0244,1.0244,0.3901,1.0,0.3857,ok,0,checkpoints/assist_09_m3grid/seed42/baseline_full,logs/assist_09_m3grid/seed42/baseline_full,logs/assist_09_m3grid/seed42/baseline_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 1.0, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,sparse_0p01,full,assist_09_m3grid_sparse_0p01_full,0.7700571482435923,0.7371215437020685,0.423450335476758,0.7669479996292733,17,17,0.0855,0.2415,1.0434,1.0434,0.3897,1.0,0.3944,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p01_full,logs/assist_09_m3grid/seed42/sparse_0p01_full,logs/assist_09_m3grid/seed42/sparse_0p01_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.01, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,gbias_m3,full,assist_09_m3grid_gbias_m3_full,0.7691437340552791,0.7365125882509658,0.42385803450751924,0.7661566309900418,17,17,8.7016,0.2331,1.0116,1.0116,0.388,1.0,0.3852,ok,0,checkpoints/assist_09_m3grid/seed42/gbias_m3_full,logs/assist_09_m3grid/seed42/gbias_m3_full,logs/assist_09_m3grid/seed42/gbias_m3_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -3.0, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 1.0, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,sparse_0p3,full,assist_09_m3grid_sparse_0p3_full,0.7703214414615605,0.7376353498639365,0.4230216905926661,0.7675971968094699,17,17,2.6134,0.2443,1.0415,1.0415,0.3911,1.0,0.3956,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p3_full,logs/assist_09_m3grid/seed42/sparse_0p3_full,logs/assist_09_m3grid/seed42/sparse_0p3_full/train_20260211_031206.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.3, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,sparse_0p03,full,assist_09_m3grid_sparse_0p03_full,0.7704347015824681,0.7381301261679575,0.42261347565697616,0.7667732002246488,17,17,0.2592,0.2479,1.0645,1.0645,0.3911,1.0,0.4462,ok,0,checkpoints/assist_09_m3grid/seed42/sparse_0p03_full,logs/assist_09_m3grid/seed42/sparse_0p03_full,logs/assist_09_m3grid/seed42/sparse_0p03_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 0.03, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,gbias_m2,full,assist_09_m3grid_gbias_m2_full,0.7700340803775227,0.7370073645549867,0.42315243946113046,0.7668106952341796,17,17,8.7011,0.2409,1.0459,1.0459,0.3938,1.0,0.3985,ok,0,checkpoints/assist_09_m3grid/seed42/gbias_m2_full,logs/assist_09_m3grid/seed42/gbias_m2_full,logs/assist_09_m3grid/seed42/gbias_m2_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -2.0, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 1.0, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
assist_09,42,gbias_m1p5,full,assist_09_m3grid_gbias_m1p5_full,0.7705729911637836,0.7372928124226912,0.4227676781412544,0.7663383772640731,17,17,8.7064,0.2455,1.0466,1.0466,0.3962,1.0,0.41,ok,0,checkpoints/assist_09_m3grid/seed42/gbias_m1p5_full,logs/assist_09_m3grid/seed42/gbias_m1p5_full,logs/assist_09_m3grid/seed42/gbias_m1p5_full/train_20260211_031207.log,"{""ablate_module3"": false, ""ablate_skill_encoder"": false, ""ablate_soft_prototype"": true, ""batch_size"": 128, ""disable_q_aligned_residual"": false, ""disable_soft_prototype"": true, ""dropout"": 0.2, ""early_stop_patience"": 3, ""enable_soft_prototype"": false, ""epochs"": 30, ""exercise_dim"": 64, ""exercise_l2_lambda"": 5e-05, ""fusion_gate_bias_init"": -1.5, ""fusion_gate_max"": 0.4, ""knowledge_dim"": 64, ""lambda_alpha"": 0.01, ""lambda_proto_div"": 0.0, ""lambda_proto_usage"": 0.0, ""lambda_sparse"": 1.0, ""lambda_sparse_personal"": 0.005, ""learning_rate"": 0.0003, ""min_exer_interactions"": 0, ""min_poison_count"": 0, ""min_stu_interactions"": 15, ""model_variant"": ""gpd_base"", ""no_cuda"": false, ""num_gnn_layers"": 1, ""num_prototypes"": 0, ""num_relation_heads"": 2, ""num_workers"": 4, ""patience"": 5, ""proto_lambda"": 0.0, ""proto_tau"": 1.0, ""residual_clip_t"": 2.0, ""save_interval"": 10, ""seed"": 42, ""skill_dim"": 128, ""use_personal_graph"": true, ""use_soft_prototype_main_path"": false, ""weight_decay"": 1e-05}"
