dataset,variant,seed,auc,acc
assist_17,full,42,0.7890752872651117,0.7188749822031815
assist_17,full,43,0.7887167227750275,0.7185643468244004
assist_17,full,44,0.7889756965831309,0.718771437076921
assist_17,full,2025,0.7890318706035906,0.7189785273294418
assist_17,full,2026,0.7890621743916235,0.7190691293149195
assist_17,full,2027,0.7888458932881404,0.7184608016981401
assist_17,woA,42,0.7868246035800145,0.7172441464645811
assist_17,woA,43,0.7870303532879057,0.7171017719159731
assist_17,woA,44,0.7867590514599656,0.7166358188478016
assist_17,woA,2025,0.7870287281271374,0.7175418387025796
assist_17,woA,2026,0.787046969255476,0.7168946816634525
assist_17,woA,2027,0.7867868887594974,0.7164157854544984
assist_17,woB,42,0.7891690621373093,0.719651570650134
assist_17,woB,43,0.7892646948707075,0.7195480255238736
assist_17,woB,44,0.7890146990807483,0.7190044136110069
assist_17,woB,2025,0.7891920317792585,0.7191467881596149
assist_17,woB,2026,0.789154565308618,0.7193409352713529
assist_17,woB,2027,0.789000269952914,0.719056186174137
nips34,full,42,0.790156731401844,0.7214546541672895
nips34,full,43,0.7893689549554918,0.721013332194438
nips34,full,44,0.7900544357590225,0.7203513492351605
nips34,full,2025,0.789806780196713,0.72070013595564
nips34,full,2026,0.7898625807196509,0.7215756618050069
nips34,full,2027,0.7904282698843025,0.7211628122175006
nips34,woA,42,0.7877115283338474,0.7181874479489205
nips34,woA,43,0.7863683494440689,0.7175752916639974
nips34,woA,44,0.7868116335860602,0.7180664403112031
nips34,woA,2025,0.7854321213655281,0.7171837963655
nips34,woA,2026,0.7862300211838815,0.7180023774441763
nips34,woA,2027,0.7863043786066651,0.7172834497142084
nips34,woB,42,0.7898347402238213,0.7207997893043484
nips34,woB,43,0.7898262811185248,0.7211129855431463
nips34,woB,44,0.7897166782728583,0.7205791283179227
nips34,woB,2025,0.7898005422536359,0.7208496159787027
nips34,woB,2026,0.7897671176192345,0.7209350331347385
nips34,woB,2027,0.7897504543679421,0.721127221735819
ednet_kt1,full,42,0.7486609527293633,0.7166081477562407
ednet_kt1,full,43,0.7487416237685856,0.7168005386946275
ednet_kt1,full,44,0.7486301863126813,0.7160790726756769
ednet_kt1,full,2025,0.7484410253730174,0.7167043432254341
ednet_kt1,full,2026,0.7484608220753091,0.7156942907989033
ednet_kt1,full,2027,0.7476276359455434,0.7169929296330143
ednet_kt1,woA,42,0.7479872324858241,0.7130008176614882
ednet_kt1,woA,43,0.7483607253913088,0.711750276561974
ednet_kt1,woA,44,0.7483323525568998,0.7125198403155212
ednet_kt1,woA,2025,0.7481919673887479,0.7137703814150353
ednet_kt1,woA,2026,0.7473946797669132,0.7123274493771343
ednet_kt1,woA,2027,0.746553126551517,0.7136260882112453
ednet_kt1,woB,42,0.7459741357234315,0.7165119522870472
ednet_kt1,woB,43,0.746851514280488,0.7161271704102736
ednet_kt1,woB,44,0.7469117510256342,0.7166081477562407
ednet_kt1,woB,2025,0.7465768010661371,0.7156942907989033
ednet_kt1,woB,2026,0.7468430217669655,0.716560050021644
ednet_kt1,woB,2027,0.7465748151245133,0.7163195613486605
moocradar,full,42,0.9344694527481158,0.9156133443845835
moocradar,full,43,0.9341371276638649,0.9155356402818069
moocradar,full,44,0.9335771562738348,0.9155097389142147
moocradar,full,2025,0.9343511301790295,0.9156910484873602
moocradar,full,2026,0.9344784763536201,0.9150953170327393
moocradar,full,2027,0.9337546494173812,0.9159500621632822
moocradar,woA,42,0.9335102626821729,0.9157428512225445
moocradar,woA,43,0.9339847761308503,0.9154579361790303
moocradar,woA,44,0.9336212586038252,0.9159241607956901
moocradar,woA,2025,0.9342085609280284,0.9154838375466224
moocradar,woA,2026,0.9342092638650392,0.9155097389142147
moocradar,woA,2027,0.9344058787532625,0.9158723580605056
moocradar,woB,42,0.9307523342215649,0.9137743472855366
moocradar,woB,43,0.9308164470315718,0.9138261500207211
moocradar,woB,44,0.9307774200925978,0.9135153336096146
moocradar,woB,2025,0.9308511696425944,0.9137743472855366
moocradar,woB,2026,0.9307541705283818,0.91369664318276
moocradar,woB,2027,0.9308184041073024,0.9137225445503523
xes3g5m,full,42,0.8008963921474916,0.8383994587541681
xes3g5m,full,43,0.8007725259952492,0.8378678780263857
xes3g5m,full,44,0.8005185546353373,0.8384961097955831
xes3g5m,full,2025,0.8007388382509658,0.8378195525056783
xes3g5m,full,2026,0.8006352825509663,0.8379645290678007
xes3g5m,full,2027,0.8005383208463359,0.8383028077127531
xes3g5m,woA,42,0.7969242829179901,0.8357898806359638
xes3g5m,woA,43,0.797176645216831,0.8353549509495964
xes3g5m,woA,44,0.7970287772369473,0.835499927511719
xes3g5m,woA,2025,0.7971231518237776,0.8357898806359638
xes3g5m,woA,2026,0.7967946825137938,0.8353549509495964
xes3g5m,woA,2027,0.7969745581889014,0.8359831827187938
xes3g5m,woB,42,0.7997424902832431,0.836901367612236
xes3g5m,woB,43,0.7996157609488008,0.8372879717778959
xes3g5m,woB,44,0.7995269865255016,0.836804716570821
xes3g5m,woB,2025,0.7994375337725356,0.8364181124051612
xes3g5m,woB,2026,0.7996458598558919,0.8367080655294061
xes3g5m,woB,2027,0.79965019801074,0.8367080655294061
junyi,full,42,0.8305094668058439,0.7723079974873541
junyi,full,43,0.8306978471283337,0.7709028994611036
junyi,full,44,0.8306270233844706,0.7706880021159124
junyi,full,2025,0.8293552989225619,0.7714649386716038
junyi,full,2026,0.8306711148988757,0.7713492247165008
junyi,full,2027,0.8305629455228994,0.7705557575957946
junyi,woA,42,0.830399644673854,0.7717459582768539
junyi,woA,43,0.8297148755388934,0.7703904519456475
junyi,woA,44,0.8299445884257783,0.7698614738651767
junyi,woA,2025,0.8292146144533468,0.7706714715508977
junyi,woA,2026,0.830449170321709,0.7703739213806328
junyi,woA,2027,0.8293349757268482,0.7702416768605151
junyi,woB,42,0.8299988008429336,0.7706053492908388
junyi,woB,43,0.8305851341585425,0.7726055476576189
junyi,woB,44,0.8295128584940671,0.7709194300261183
junyi,woB,2025,0.830518701327583,0.7718616722319569
junyi,woB,2026,0.8306065207738337,0.7720600390121334
junyi,woB,2027,0.8303648809531844,0.7729030978278838
