dataset,variant,n_seeds,auc_mean,auc_std,acc_mean,acc_std
assist_17,full,6,0.788951,0.000142,0.718787,0.000237
assist_17,woA,6,0.786913,0.000136,0.716972,0.000411
assist_17,woB,6,0.789133,0.000104,0.719291,0.000267
nips34,full,6,0.789946,0.000360,0.721043,0.000461
nips34,woA,6,0.786476,0.000752,0.717716,0.000428
nips34,woB,6,0.789783,0.000046,0.720901,0.000207
ednet_kt1,full,6,0.748427,0.000409,0.716480,0.000492
ednet_kt1,woA,6,0.747803,0.000708,0.712832,0.000783
ednet_kt1,woB,6,0.746622,0.000349,0.716304,0.000348
moocradar,full,6,0.934128,0.000383,0.915566,0.000280
moocradar,woA,6,0.933990,0.000356,0.915665,0.000208
moocradar,woB,6,0.930795,0.000040,0.913718,0.000109
xes3g5m,full,6,0.800683,0.000146,0.838142,0.000293
xes3g5m,woA,6,0.797004,0.000138,0.835629,0.000262
xes3g5m,woB,6,0.799603,0.000107,0.836805,0.000287
junyi,full,6,0.830404,0.000518,0.771211,0.000646
junyi,woA,6,0.829843,0.000521,0.770547,0.000644
junyi,woB,6,0.830264,0.000431,0.771826,0.000909
