dataset,tier,auc_all,auc_zero_same_concept,rows,rows_zero_same_concept
assist_17,concept_mean,0.5957052946864467,0.6244471622258073,77360,5404
assist_17,1hop,0.7003849958275783,0.7301078926736081,77360,5404
assist_17,2hop,0.6504620078198295,0.6702395288313239,77360,5404
assist_17,random,0.666562041562967,0.6814334024141412,77360,5404
junyi,concept_mean,0.7982780640324182,0.7982780640324182,67063,67063
junyi,1hop,0.8035960949124273,0.8035960949124273,67063,67063
junyi,2hop,0.7835430890520031,0.7835430890520031,67063,67063
junyi,random,0.7761208851891885,0.7761208851891885,67063,67063
nips34,concept_mean,0.5706423936966956,,140487,0
nips34,1hop,0.7162011869418888,,140487,0
nips34,2hop,0.6925964613231431,,140487,0
nips34,random,0.66012900639789,,140487,0
ednet_kt1,concept_mean,0.609194115341399,0.5646298472385429,20791,166
ednet_kt1,1hop,0.6895584258799551,0.5453877790834313,20791,166
ednet_kt1,2hop,0.6574824740651702,0.5464159811985899,20791,166
ednet_kt1,random,0.6754264705113799,0.5793184488836662,20791,166
moocradar,concept_mean,0.7794138851748491,0.7348841570253225,38608,9841
moocradar,1hop,0.8874790828241386,0.9170487325232588,38608,9841
moocradar,2hop,0.8138370574172328,0.8366486742552175,38608,9841
moocradar,random,0.8247643556954917,0.8610572272048316,38608,9841
xes3g5m,concept_mean,0.6395792837903357,0.6626187908768203,20714,9063
xes3g5m,1hop,0.7236143524600458,0.7401619710277175,20714,9063
xes3g5m,2hop,0.66365577856848,0.6908714951116224,20714,9063
xes3g5m,random,0.6490416966833038,0.6846842314187642,20714,9063
