delete_mode,fraction,group,n,auc_drop_mean,auc_drop_std,bce_increase_mean,bce_increase_std
random,0.1,all,51090,0.002411961041171029,0.0009146010634062761,0.001413850785211479,0.001965506663462618
random,0.1,graph_hits_history,50529,0.002391494010521389,0.000921068544418435,0.0013940665973925848,0.001987437101539633
random,0.1,high_support_mass,12637,0.0034311099763706387,0.001529989648640059,0.002882150443962761,0.002793252930866856
random,0.1,multi_concept,8419,0.004726112027638086,0.0028226975273614864,0.005128116470345878,0.0065256412064320715
random,0.25,all,51090,0.007366014237775764,0.002615332431735103,0.006640341622968227,0.004190720845805809
random,0.25,graph_hits_history,50529,0.007403513368252401,0.002586958304558596,0.0066841919064719365,0.0041276983747941896
random,0.25,high_support_mass,12637,0.010411829728519461,0.010372912354330091,0.009169788589641792,0.010546185020916898
random,0.25,multi_concept,8419,0.01492310799686516,0.012163076253192873,0.015748123061844078,0.01405940550979817
random,0.5,all,51090,0.013074313060199082,0.0044028418383822805,0.012030762057331446,0.005955987223806003
random,0.5,graph_hits_history,50529,0.01324543739751416,0.004488948911986406,0.012161876028014218,0.005994668652895367
random,0.5,high_support_mass,12637,0.02117675502289127,0.008412407774672299,0.018994886836371138,0.007945587884975415
random,0.5,multi_concept,8419,0.022400888064407855,0.016735331027314178,0.023372404710938332,0.01276818915401125
top,0.1,all,51090,0.021601305175919405,,0.024021495088786593,
top,0.1,graph_hits_history,50529,0.021587281433580463,,0.024006884745797485,
top,0.1,high_support_mass,12637,0.029085851849196098,,0.02692349505224645,
top,0.1,multi_concept,8419,0.04095907030741763,,0.03862294833291857,
top,0.25,all,51090,0.02283449868722809,,0.02071851538792424,
top,0.25,graph_hits_history,50529,0.023134336199477135,,0.020962275244784556,
top,0.25,high_support_mass,12637,0.03319062403299311,,0.027126314447786237,
top,0.25,multi_concept,8419,0.0555718489098006,,0.04174381369581914,
top,0.5,all,51090,0.03200468402214507,,0.030811172925026997,
top,0.5,graph_hits_history,50529,0.03254219049451268,,0.031184272509604316,
top,0.5,high_support_mass,12637,0.039808377699215525,,0.035085519968048984,
top,0.5,multi_concept,8419,0.07266595837157719,,0.054687082944740895,
