group_type,group,n,support_mass_mean,A_fused_auc,no_A_auc,A_fused_minus_no_A_auc,A_fused_bce,no_A_bce,no_A_minus_A_fused_bce,sample_bce_gain_mean
support_mass_bin,q2_midlow,12622,0.5601254025824328,0.7716109621349185,0.7694499143835616,0.002161047751356948,0.5558429370712223,0.5449030444008753,-0.010939892670347007,-0.010939891450107098
support_mass_bin,q1_low,12644,0.25337113869704825,0.7781741968088975,0.7730105754619121,0.0051636213469854475,0.5766205226665401,0.5643871038943524,-0.012233418772187643,-0.012233419343829155
support_mass_bin,q4_high,12630,0.9473909879975879,0.753304237922793,0.7463889683707579,0.0069152695520351415,0.5060424709043293,0.5089995671265162,0.0029570962221868724,0.002957096789032221
support_mass_bin,q3_midhigh,12633,0.838008424889529,0.7604364545014382,0.7546581808215653,0.005778273679872825,0.5093956415015067,0.5080937769430753,-0.0013018645584313981,-0.001301864511333406
support_mass_bin,zero,561,0.0,0.7916688396349413,0.7664667535853976,0.02520208604954366,0.5477699158145355,0.5715936449515229,0.02382372913698738,0.023823728784918785
query_degree_bin,q1_low,13060,0.733630825731059,0.7606769522390433,0.7540009945008312,0.006675957738212057,0.5484735986046763,0.5458403683727304,-0.002633230231945838,-0.002633230062201619
query_degree_bin,q2_midlow,16138,0.7040232760615609,0.7860327410077012,0.7801304700216021,0.0059022709860990785,0.5202923229502721,0.5174681433297954,-0.0028241796204766523,-0.002824178896844387
query_degree_bin,q3_midhigh,12952,0.5506556994089578,0.7613399906616494,0.7597135661318195,0.0016264245298298619,0.550974604388771,0.5423534359242791,-0.008621168464491902,-0.008621168322861195
query_degree_bin,q4_high,8940,0.5314090925331073,0.7860651849470659,0.781173734291014,0.004891450656051899,0.530725293970799,0.523245661042534,-0.007479632928265034,-0.007479633204638958
query_top1_bin,q2_midlow,12278,0.561347150203724,0.7814777355313138,0.7794100257432154,0.0020677097880984485,0.5368642870084032,0.5273447948811165,-0.009519492127286644,-0.009519492276012897
query_top1_bin,q3_midhigh,12819,0.6701203812364944,0.7901998115619759,0.785676477384844,0.00452333417713191,0.5185938579870673,0.5119490664630407,-0.006644791524026528,-0.006644791457802057
query_top1_bin,q4_high,12512,0.6930303484099605,0.7668519712137475,0.7641381245198214,0.0027138466939260475,0.5371308086382913,0.5342755794503959,-0.0028552291878953806,-0.0028552296571433544
query_top1_bin,q1_low,13481,0.6432717841808863,0.7551119714406926,0.7448283839636967,0.010283587476995981,0.5548842704979735,0.5533479337728798,-0.0015363367250936788,-0.0015363366110250354
query_top5_bin,q4_high,12569,0.6997313737678044,0.7851512351483731,0.7813093122437279,0.0038419229046452452,0.519507417893735,0.5184651854662343,-0.0010422324275006778,-0.0010422321502119303
query_top5_bin,q3_midhigh,12829,0.6147356417891039,0.7643567988155613,0.7631442265281622,0.0012125722873991274,0.5507502489734467,0.5408352901134488,-0.009914958859997935,-0.009914958849549294
query_top5_bin,q1_low,13706,0.6419719724361314,0.7645187792659639,0.7576184115378435,0.006900367728120416,0.5525346148225085,0.5459557276826602,-0.006578887139848333,-0.006578887812793255
query_top5_bin,q2_midlow,11986,0.6128317269739979,0.7794531878039698,0.770859830281893,0.008593357522076794,0.5232894042505309,0.5209511065581965,-0.002338297692334401,-0.002338297897949815
query_seq_top5_bin,q3_midhigh,12714,0.6300055921634636,0.7653498328668505,0.7630023376956976,0.002347495171152958,0.5716765699520322,0.558135072353645,-0.013541497598387187,-0.01354149729013443
query_seq_top5_bin,q1_low,12937,0.6530063885397591,0.7645204276735604,0.7646757801247736,-0.0001553524512131199,0.5292375219278349,0.5241154036400167,-0.005122118287818167,-0.005122118629515171
query_seq_top5_bin,q2_midlow,13298,0.6406252540607842,0.7641839953117058,0.758574507687251,0.00560948762445479,0.545201429528114,0.5406854610494243,-0.004515968478689736,-0.0045159682631492615
query_seq_top5_bin,q4_high,12141,0.6464678974808049,0.7957057508380969,0.7848736073631006,0.01083214347499628,0.5003969663351844,0.5036906739136177,0.0032937075784332803,0.0032937077339738607
group_all,all,51090,0.6425060896284969,0.7734499924892442,0.7686744499486973,0.0047755425405469065,0.5371002135386743,0.5320405954162384,-0.005059618122435938,-0.005059617105871439
group_graph_hits_history,graph_hits_history,50529,0.6496395360905599,0.7731180928794508,0.7686016354740743,0.004516457405376428,0.5369817527938197,0.5316014562923828,-0.005380296501436899,-0.0053802961483597755
group_high_support_mass,high_support_mass,12637,0.9473719967290936,0.7533086720505371,0.7463859498738885,0.006922722176648577,0.5060625183241793,0.5090148759330877,0.0029523576089084402,0.00295235775411129
group_multi_concept,multi_concept,8419,0.8112027954687988,0.7508213651710858,0.7542080641048048,-0.0033866989337190123,0.5546052000945908,0.5485934356822311,-0.0060117644123597325,-0.006011763587594032
