fraction,group,n,auc_drop_mean,auc_drop_std,bce_increase_mean,bce_increase_std,union_preservation_mean
0.0,all,51090,0.0,,0.0,,1.0
0.25,all,51090,0.005021688499124521,0.002327828973612104,0.006334432449076344,0.0027018347358799535,0.746938775510204
0.5,all,51090,0.011039866926833652,0.0018520861061062553,0.008063518391616809,0.0035498134501902663,0.5035374149659864
0.75,all,51090,0.02184482248523758,0.00596848600356477,0.014822536862492176,0.005235211231294811,0.2440816326530612
1.0,all,51090,0.03410742347402458,0.0025811221255677592,0.019626021671702198,0.0025222108145207937,0.0
0.0,graph_hits_history,50529,0.0,,0.0,,1.0
0.25,graph_hits_history,50529,0.005038874141268623,0.0023191881267327677,0.0063147070433384744,0.0026847598947855053,0.746938775510204
0.5,graph_hits_history,50529,0.011110263815915466,0.0018038539975809488,0.00813014231121172,0.003556238835332321,0.5035374149659864
0.75,graph_hits_history,50529,0.02200392294180171,0.005987965631567993,0.014879672047882209,0.005189588354425347,0.2440816326530612
1.0,graph_hits_history,50529,0.0342385420644699,0.0026521355138144423,0.0196647583830591,0.0025394857398334295,0.0
0.0,high_support_mass,12637,0.0,,0.0,,1.0
0.25,high_support_mass,12637,0.005529110599035714,0.004277282964261684,0.0068768266042551485,0.005570674480404573,0.746938775510204
0.5,high_support_mass,12637,0.00991857466791668,0.0014838750173448074,0.00780799670115071,0.003546173404204486,0.5035374149659864
0.75,high_support_mass,12637,0.02423015771849788,0.006927451949453052,0.015879031707606163,0.005581669487009263,0.2440816326530612
1.0,high_support_mass,12637,0.04075975028119798,0.012263762454282618,0.02378495060324306,0.007504858165597857,0.0
0.0,multi_concept,8419,0.0,,0.0,,1.0
0.25,multi_concept,8419,0.005930002507975707,0.003980271350823356,0.008243893609623498,0.00666529000535344,0.746938775510204
0.5,multi_concept,8419,0.009310030896919952,0.006119096031713812,0.00921125411662238,0.009918538935431665,0.5035374149659864
0.75,multi_concept,8419,0.03343034814653876,0.009445310389711858,0.023931746136593945,0.00549301331229423,0.2440816326530612
1.0,multi_concept,8419,0.05233898242764845,0.018956014604021396,0.034854359812651926,0.012230449395055791,0.0
0.0,query_seq_top5_q4_high,12141,0.0,,0.0,,1.0
0.25,query_seq_top5_q4_high,12141,0.008162194896854968,0.00611481991206938,0.011213647218731837,0.010262076730859406,0.746938775510204
0.5,query_seq_top5_q4_high,12141,0.01289691062277909,0.006617403751190739,0.010976308460791917,0.0039375391463404375,0.5035374149659864
0.75,query_seq_top5_q4_high,12141,0.024568344039778346,0.017621484365834852,0.019605470477566445,0.013751247509925832,0.2440816326530612
1.0,query_seq_top5_q4_high,12141,0.04738931581549664,0.020819226719921435,0.03177668511134406,0.01734569191961789,0.0
