fraction,trial,group,n,auc,auc_drop_vs_original,bce,bce_increase_vs_original,union_preservation_rate
0.0,0,all,51090,0.7734499924892442,0.0,0.5371002135386743,0.0,1.0
0.0,0,graph_hits_history,50529,0.7731180928794508,0.0,0.5369817527938197,0.0,1.0
0.0,0,high_support_mass,12637,0.7533086720505371,0.0,0.5060625183241793,0.0,1.0
0.0,0,query_seq_top5_q4_high,12141,0.7957057508380969,0.0,0.5003969663351844,0.0,1.0
0.0,0,multi_concept,8419,0.7508213651710858,0.0,0.5546052000945908,0.0,1.0
0.25,0,all,51090,0.770824369522974,0.0026256229662702246,0.5396690472697832,0.0025688337311088327,0.7462585034013606
0.25,0,graph_hits_history,50529,0.7703565318563383,0.0027615610231124244,0.5396229631114078,0.0026412103175881274,0.7462585034013606
0.25,0,high_support_mass,12637,0.7515932714369076,0.0017154006136295141,0.5071437253232456,0.0010812069990663309,0.7462585034013606
0.25,0,query_seq_top5_q4_high,12141,0.7932807908095112,0.002424960028585721,0.5019574096911016,0.001560443355917207,0.7462585034013606
0.25,0,multi_concept,8419,0.7489615936863108,0.001859771484775008,0.5557563818448852,0.0011511817502943833,0.7462585034013606
0.25,1,all,51090,0.768367628222616,0.005082364266628225,0.5445208649900788,0.00742065145140447,0.7448979591836735
0.25,1,graph_hits_history,50529,0.768122756393606,0.004995336485844715,0.5442510568180783,0.007269304024258627,0.7448979591836735
0.25,1,high_support_mass,12637,0.7493034241977768,0.004005247852760241,0.5123206543781587,0.006258136053979402,0.7448979591836735
0.25,1,query_seq_top5_q4_high,12141,0.7900466836340115,0.005659067204085377,0.5082940921636881,0.00789712582850377,0.7448979591836735
0.25,1,multi_concept,8419,0.7440774381928067,0.00674392697827908,0.5631692599374232,0.008564059842832372,0.7448979591836735
0.25,2,all,51090,0.7671952252133071,0.006254767275937101,0.546117361658743,0.009017148120068708,0.7462585034013606
0.25,2,graph_hits_history,50529,0.7668418769316732,0.006276215947777608,0.5459979394234696,0.00901618662964998,0.7462585034013606
0.25,2,high_support_mass,12637,0.7457306456366095,0.007578026413927574,0.5167682946508934,0.0107057763267141,0.7462585034013606
0.25,2,query_seq_top5_q4_high,12141,0.7805102667791658,0.015195484058931119,0.5184146782526214,0.018017711917437063,0.7462585034013606
0.25,2,multi_concept,8419,0.7433655097060153,0.007455855465070438,0.5671903816085166,0.012585181513925847,0.7462585034013606
0.25,3,all,51090,0.7652501434228154,0.008199849066428788,0.5452554858150733,0.008155272276399006,0.7510204081632653
0.25,3,graph_hits_history,50529,0.7648720868783497,0.008246006001101036,0.545192994788366,0.00821124199454637,0.7510204081632653
0.25,3,high_support_mass,12637,0.7413026162832643,0.01200605576727276,0.5202384705080484,0.014175952183869134,0.7510204081632653
0.25,3,query_seq_top5_q4_high,12141,0.7814542691328171,0.01425148170527979,0.5259129410326413,0.025515974697456922,0.7510204081632653
0.25,3,multi_concept,8419,0.7394263791102885,0.011394986060797252,0.571327401401562,0.01672220130697122,0.7510204081632653
0.25,4,all,51090,0.7705041535688859,0.002945838920358268,0.541610470205075,0.004510256666400703,0.7462585034013606
0.25,4,graph_hits_history,50529,0.7702028416309434,0.0029152512485073334,0.5414173450444689,0.004435592250649267,0.7462585034013606
0.25,4,high_support_mass,12637,0.7509678497029486,0.002340822347588478,0.508225579781826,0.0021630614576467755,0.7462585034013606
0.25,4,query_seq_top5_q4_high,12141,0.7924257693507041,0.0032799814873928357,0.5034739466295286,0.0030769802943442226,0.7462585034013606
0.25,4,multi_concept,8419,0.748625892620129,0.0021954725509567563,0.5568020437286845,0.0021968436340936703,0.7462585034013606
0.5,0,all,51090,0.7618734559812201,0.011576536508024038,0.5465073206806254,0.009407107141951032,0.5061224489795918
0.5,0,graph_hits_history,50529,0.7616237706695723,0.01149432220987845,0.546406573420452,0.009424820626632302,0.5061224489795918
0.5,0,high_support_mass,12637,0.7433642884772753,0.009944383573261772,0.5133076043679172,0.007245086043737969,0.5061224489795918
0.5,0,query_seq_top5_q4_high,12141,0.7807794363720431,0.014926314466053858,0.5108375303375724,0.01044056400238802,0.5061224489795918
0.5,0,multi_concept,8419,0.7431738091804334,0.007647555990652366,0.5599033316069987,0.005298131512407878,0.5061224489795918
0.5,1,all,51090,0.7598607380345294,0.013589254454714816,0.5508096231602955,0.01370940962162115,0.5054421768707483
0.5,1,graph_hits_history,50529,0.7594727209641532,0.013645371915297577,0.5507845832450415,0.013802830451221881,0.5054421768707483
0.5,1,high_support_mass,12637,0.7413240081860102,0.011984663864526901,0.5191522013060096,0.01308968298183033,0.5054421768707483
0.5,1,query_seq_top5_q4_high,12141,0.7821263182581606,0.013579432579936324,0.5134224144843548,0.013025448149170393,0.5054421768707483
0.5,1,multi_concept,8419,0.7349067744785702,0.01591459069251555,0.5790799954593678,0.024474795364777036,0.5054421768707483
0.5,2,all,51090,0.7619693625806748,0.01148062990856935,0.542669646606028,0.005569433067353691,0.5006802721088436
0.5,2,graph_hits_history,50529,0.7615480567693653,0.011570036110085447,0.5425501064946547,0.0055683537008350825,0.5006802721088436
0.5,2,high_support_mass,12637,0.7442925048758732,0.009016167174663914,0.5099834300491993,0.003920911725020071,0.5006802721088436
0.5,2,query_seq_top5_q4_high,12141,0.7735167883756912,0.02218896246240576,0.5165549259998589,0.01615795966467448,0.5006802721088436
0.5,2,multi_concept,8419,0.7438220445232157,0.006999320647870122,0.5559391298266573,0.0013339297320664745,0.5006802721088436
0.5,3,all,51090,0.7646834369651897,0.008766555524054476,0.5433624847405117,0.006262271201837422,0.501360544217687
0.5,3,graph_hits_history,50529,0.7642078270194006,0.00891026586005017,0.5433909967213197,0.006409243927500086,0.501360544217687
0.5,3,high_support_mass,12637,0.7452129237841475,0.00809574826638959,0.511633540848952,0.005571022524772706,0.501360544217687
0.5,3,query_seq_top5_q4_high,12141,0.7863424442940468,0.009363306544050154,0.5100591637303596,0.009662197395175265,0.501360544217687
0.5,3,multi_concept,8419,0.749704079975981,0.001117285195104789,0.5558695122801353,0.0012643121855444583,0.501360544217687
0.5,4,all,51090,0.7636636342504386,0.009786358238805581,0.5424695844639951,0.005369370925320749,0.5040816326530613
0.5,4,graph_hits_history,50529,0.7631867698951851,0.00993132298426569,0.5424272156436889,0.0054454628498692426,0.5040816326530613
0.5,4,high_support_mass,12637,0.7427567615897959,0.01055191046074122,0.5152757985545717,0.009213280230392473,0.5040816326530613
0.5,4,query_seq_top5_q4_high,12141,0.7912792137766476,0.004426537061449354,0.5059923394277358,0.0055953730925514256,0.5040816326530613
0.5,4,multi_concept,8419,0.7359499632126288,0.014871401958456931,0.5682903018829069,0.013685101788316056,0.5040816326530613
0.75,0,all,51090,0.7502577441307334,0.023192248358510748,0.5568609490802222,0.01976073554154789,0.24557823129251702
