query_concept,support_concept,hop,weight
24,1,1,1.0
31,1,1,1.0
1,31,1,1.0
24,31,1,1.0
1,49,1,1.0
24,49,1,1.0
31,49,1,1.0
9,1,2,0.7
9,31,2,0.7
9,49,2,0.7
11,1,3,0.48999999999999994
11,31,3,0.48999999999999994
11,49,3,0.48999999999999994
9,1,1,1.0
9,24,1,1.0
9,31,1,1.0
11,1,2,0.7
11,24,2,0.7
11,31,2,0.7
11,9,1,1.0
49,53,1,1.0
119,53,2,0.7
96,53,3,0.48999999999999994
119,49,1,1.0
96,49,2,0.7
22,49,3,0.48999999999999994
96,119,1,1.0
22,119,2,0.7
99,119,3,0.48999999999999994
22,96,1,1.0
99,96,2,0.7
99,96,3,0.48999999999999994
99,22,1,1.0
99,22,2,0.7
49,22,3,0.48999999999999994
49,99,2,0.7
96,99,3,0.48999999999999994
49,99,1,1.0
96,99,2,0.7
14,99,3,0.48999999999999994
96,49,1,1.0
14,49,2,0.7
34,49,3,0.48999999999999994
14,96,1,1.0
34,96,2,0.7
4,96,3,0.48999999999999994
34,14,1,1.0
4,14,2,0.7
46,14,3,0.48999999999999994
4,34,1,1.0
46,34,2,0.7
30,34,3,0.48999999999999994
46,4,1,1.0
30,4,2,0.7
99,4,3,0.48999999999999994
30,46,1,1.0
99,46,2,0.7
96,46,3,0.48999999999999994
99,30,1,1.0
96,30,2,0.7
38,30,3,0.48999999999999994
96,99,1,1.0
38,99,2,0.7
25,99,3,0.48999999999999994
38,96,1,1.0
25,96,2,0.7
53,96,3,0.48999999999999994
25,38,1,1.0
53,38,2,0.7
37,38,3,0.48999999999999994
55,38,3,0.48999999999999994
53,25,1,1.0
37,25,2,0.7
55,25,2,0.7
29,25,3,0.48999999999999994
37,53,1,1.0
55,53,1,1.0
29,53,2,0.7
4,53,3,0.48999999999999994
29,37,1,1.0
29,55,1,1.0
4,37,2,0.7
4,55,2,0.7
29,37,3,0.48999999999999994
29,55,3,0.48999999999999994
4,29,1,1.0
79,29,3,0.48999999999999994
29,4,1,1.0
79,4,2,0.7
21,4,3,0.48999999999999994
79,29,1,1.0
21,29,2,0.7
21,29,3,0.48999999999999994
21,79,1,1.0
21,79,2,0.7
32,79,3,0.48999999999999994
32,21,2,0.7
38,21,3,0.48999999999999994
32,21,1,1.0
38,21,2,0.7
80,21,3,0.48999999999999994
38,32,1,1.0
80,32,2,0.7
98,32,3,0.48999999999999994
80,38,1,1.0
98,38,2,0.7
49,38,3,0.48999999999999994
98,80,1,1.0
49,80,2,0.7
46,80,3,0.48999999999999994
49,98,1,1.0
46,98,2,0.7
33,98,3,0.48999999999999994
46,49,1,1.0
33,49,2,0.7
82,49,3,0.48999999999999994
33,46,1,1.0
82,46,2,0.7
47,46,3,0.48999999999999994
82,33,1,1.0
47,33,2,0.7
97,33,3,0.48999999999999994
47,82,1,1.0
97,82,2,0.7
39,82,3,0.48999999999999994
46,82,3,0.48999999999999994
97,47,1,1.0
39,47,2,0.7
46,47,2,0.7
25,47,3,0.48999999999999994
39,97,1,1.0
46,97,1,1.0
25,97,2,0.7
79,97,3,0.48999999999999994
25,39,1,1.0
25,46,1,1.0
79,39,2,0.7
79,46,2,0.7
99,39,3,0.48999999999999994
99,46,3,0.48999999999999994
79,25,1,1.0
99,25,2,0.7
98,25,3,0.48999999999999994
99,79,1,1.0
98,79,2,0.7
45,79,3,0.48999999999999994
55,79,3,0.48999999999999994
98,99,1,1.0
45,99,2,0.7
55,99,2,0.7
52,99,3,0.48999999999999994
45,98,1,1.0
55,98,1,1.0
52,98,2,0.7
52,45,1,1.0
52,55,1,1.0
98,45,2,0.7
98,55,2,0.7
49,45,3,0.48999999999999994
49,55,3,0.48999999999999994
98,52,1,1.0
49,52,2,0.7
92,52,3,0.48999999999999994
49,98,1,1.0
92,98,2,0.7
33,98,3,0.48999999999999994
92,49,1,1.0
33,49,2,0.7
52,49,3,0.48999999999999994
33,92,1,1.0
52,92,2,0.7
82,92,3,0.48999999999999994
52,33,1,1.0
82,33,2,0.7
96,33,3,0.48999999999999994
82,52,1,1.0
96,52,2,0.7
4,52,3,0.48999999999999994
96,82,1,1.0
4,82,2,0.7
6,82,3,0.48999999999999994
9,82,3,0.48999999999999994
4,96,1,1.0
6,96,2,0.7
9,96,2,0.7
32,96,3,0.48999999999999994
33,96,3,0.48999999999999994
6,4,1,1.0
9,4,1,1.0
32,4,2,0.7
33,4,2,0.7
56,4,3,0.48999999999999994
32,6,1,1.0
33,6,1,1.0
32,9,1,1.0
33,9,1,1.0
56,6,2,0.7
56,9,2,0.7
29,6,3,0.48999999999999994
29,9,3,0.48999999999999994
56,32,1,1.0
56,33,1,1.0
29,32,2,0.7
29,33,2,0.7
26,32,3,0.48999999999999994
26,33,3,0.48999999999999994
29,56,1,1.0
26,56,2,0.7
22,56,3,0.48999999999999994
43,56,3,0.48999999999999994
26,29,1,1.0
22,29,2,0.7
43,29,2,0.7
22,26,1,1.0
43,26,1,1.0
29,26,2,0.7
81,26,3,0.48999999999999994
29,22,1,1.0
29,43,1,1.0
81,22,2,0.7
81,43,2,0.7
82,22,3,0.48999999999999994
82,43,3,0.48999999999999994
81,29,1,1.0
82,29,2,0.7
34,29,3,0.48999999999999994
82,81,1,1.0
34,81,2,0.7
39,81,3,0.48999999999999994
46,81,3,0.48999999999999994
34,82,1,1.0
39,82,2,0.7
46,82,2,0.7
58,82,3,0.48999999999999994
39,34,1,1.0
46,34,1,1.0
58,34,2,0.7
98,34,3,0.48999999999999994
58,39,1,1.0
58,46,1,1.0
98,39,2,0.7
98,46,2,0.7
81,39,3,0.48999999999999994
81,46,3,0.48999999999999994
98,58,1,1.0
81,58,2,0.7
32,58,3,0.48999999999999994
81,98,1,1.0
32,98,2,0.7
6,98,3,0.48999999999999994
11,98,3,0.48999999999999994
32,81,1,1.0
6,81,2,0.7
11,81,2,0.7
97,81,3,0.48999999999999994
6,32,1,1.0
11,32,1,1.0
97,32,2,0.7
53,32,3,0.48999999999999994
97,6,1,1.0
97,11,1,1.0
53,6,2,0.7
53,11,2,0.7
80,6,3,0.48999999999999994
80,11,3,0.48999999999999994
53,97,1,1.0
80,97,2,0.7
33,97,3,0.48999999999999994
80,53,1,1.0
33,53,2,0.7
79,53,3,0.48999999999999994
33,80,1,1.0
79,80,2,0.7
33,80,3,0.48999999999999994
79,33,1,1.0
30,33,3,0.48999999999999994
33,79,1,1.0
30,79,2,0.7
6,79,3,0.48999999999999994
10,79,3,0.48999999999999994
30,33,1,1.0
6,33,2,0.7
10,33,2,0.7
6,30,1,1.0
10,30,1,1.0
42,54,1,1.0
53,54,3,0.48999999999999994
54,42,1,1.0
53,42,2,0.7
2,42,3,0.48999999999999994
53,54,1,1.0
2,54,2,0.7
81,54,3,0.48999999999999994
2,53,1,1.0
81,53,2,0.7
97,53,3,0.48999999999999994
81,2,1,1.0
97,2,2,0.7
27,2,3,0.48999999999999994
97,81,1,1.0
27,81,2,0.7
49,81,3,0.48999999999999994
27,97,1,1.0
49,97,2,0.7
48,97,3,0.48999999999999994
49,27,1,1.0
48,27,2,0.7
51,27,3,0.48999999999999994
48,49,1,1.0
51,49,2,0.7
98,49,3,0.48999999999999994
51,48,1,1.0
98,48,2,0.7
58,48,3,0.48999999999999994
98,51,1,1.0
58,51,2,0.7
49,51,3,0.48999999999999994
58,98,1,1.0
49,98,2,0.7
12,98,3,0.48999999999999994
13,98,3,0.48999999999999994
49,58,1,1.0
12,58,2,0.7
13,58,2,0.7
53,58,3,0.48999999999999994
12,49,1,1.0
13,49,1,1.0
53,49,2,0.7
81,49,3,0.48999999999999994
53,12,1,1.0
53,13,1,1.0
81,12,2,0.7
81,13,2,0.7
13,12,3,0.48999999999999994
12,13,3,0.48999999999999994
81,53,1,1.0
12,53,2,0.7
13,53,2,0.7
81,53,3,0.48999999999999994
12,81,1,1.0
13,81,1,1.0
52,81,3,0.48999999999999994
81,12,1,1.0
81,13,1,1.0
52,12,2,0.7
52,13,2,0.7
20,12,3,0.48999999999999994
20,13,3,0.48999999999999994
52,81,1,1.0
20,81,2,0.7
104,81,3,0.48999999999999994
20,52,1,1.0
104,52,2,0.7
29,52,3,0.48999999999999994
104,20,1,1.0
29,20,2,0.7
45,20,3,0.48999999999999994
58,20,3,0.48999999999999994
29,104,1,1.0
45,104,2,0.7
58,104,2,0.7
39,104,3,0.48999999999999994
46,104,3,0.48999999999999994
45,29,1,1.0
58,29,1,1.0
39,29,2,0.7
46,29,2,0.7
30,29,3,0.48999999999999994
39,45,1,1.0
46,45,1,1.0
39,58,1,1.0
46,58,1,1.0
30,45,2,0.7
30,58,2,0.7
34,45,3,0.48999999999999994
35,45,3,0.48999999999999994
46,45,3,0.48999999999999994
