"id","key","file","status","bytes","url","note"
"01","NCDLA","aaai26_ncdla.pdf","downloaded","395825","https://ojs.aaai.org/index.php/AAAI/article/download/38665/42627",""
"02","DBCD","aaai26_dbcd.pdf","downloaded","821093","https://ojs.aaai.org/index.php/AAAI/article/download/39981/43942",""
"03","KCD","aaai25_kcd.pdf","downloaded","3957921","https://ojs.aaai.org/index.php/AAAI/article/download/31992/34147",""
"04","DMC-CDM","aaai25_dmc_cdm.pdf","downloaded","556117","https://ojs.aaai.org/index.php/AAAI/article/download/32105/34260",""
"05","AD4CD","aaai25_ad4cd.pdf","downloaded","689961","https://ojs.aaai.org/index.php/AAAI/article/download/33344/35499",""
"06","FACD","ijcai25_facd.pdf","downloaded","5691640","https://www.ijcai.org/proceedings/2025/0648.pdf",""
"07","KAN2CD","ijcai25_kan2cd.pdf","downloaded","1501339","https://www.ijcai.org/proceedings/2025/0878.pdf",""
"08","OSCD","kdd26_oscd.pdf","downloaded","2694647","https://arxiv.org/pdf/2601.04918",""
"09","DFCD","kdd25_dfcd.pdf","downloaded","10044466","https://arxiv.org/pdf/2410.15054",""
"10","ISG-CD","kdd25_isgcd.pdf","downloaded","2015057","https://fi.ee.tsinghua.edu.cn/public/publications/9cdd9d04-f1d2-11f0-b382-2aaffa21d846.pdf",""
"11","LRCD","kdd25_lrcd.pdf","downloaded","6169726","https://arxiv.org/pdf/2501.13943",""
"12","LLM4CD","cikm25_llm4cd.pdf","downloaded","3036702","https://arxiv.org/pdf/2504.05542",""
"13","ESR-CD","fcs25_esrcd.pdf","downloaded","2509297","https://journal.hep.com.cn/fcs/EN/PDF/10.1007/s11704-025-40591-2",""
"14","FineCD","fcs25_fdecd.pdf","downloaded","956126","https://journal.hep.com.cn/fcs/EN/PDF/10.1007/s11704-024-40029-1",""
"15","LCST","fde25_lcst.pdf","downloaded","4257742","https://journal.hep.com.cn/fde/EN/PDF/10.1007/s44366-025-0054-y",""
"16","PromptCD","tcss25_promptcd.pdf","downloaded","3467603","https://le-wu.com/files/Publications/JOURNAL/PromptCD_TCSS.pdf",""
"17","Generative CD","tlt26_generative_cd.pdf","downloaded","4559951","https://arxiv.org/pdf/2507.09831",""
"18","Transfer-Q","psyacta26_transfer_qmatrix.pdf","downloaded","657236","https://www.sciengine.com/parse/pdf/0439-755X/BFD1500394A44D8586A299ABFA285F9C.pdf?attname=Cognitive+diagnosis+method+via+neural+networks+with+transfer+learning+and+Q-matrix+constraints.pdf",""
"19","DiaCDM","icassp26_diacdm.pdf","downloaded","1041324","https://arxiv.org/pdf/2509.24821",""
"20","Exploratory DeepCDM","psychometrika25_exploratory_deepcdm.pdf","downloaded","596229","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/16E69BA84BFA7A0C93BFC06A59AAEDFF/S0033312325100653a.pdf/deep_generative_modeling_for_cognitive_diagnosis_via_exploratory_deepcdms.pdf",""
