dataset,variant,n_eval,auc,bce,rmse,auc_drop_from_full,bce_increase_from_full,posterior_l1_from_full,posterior_js_from_full,prediction_shift_abs_mean,support_identical_check_passed,notes
assist_09,full,,0.7783152874552688,,0.4177628660714798,0.0,,0.0,0.0,0.0,True,baseline
assist_09,shuffle_state_keep_id,,0.5751072021849873,,0.5070403758022731,0.20320808527028145,,,,,True,state counterfactual available from existing inference
assist_09,mean_state_keep_id,,0.6064877484755,,0.4826877185841289,0.17182753897976877,,,,,True,state counterfactual available from existing inference
assist_09,global_only,,0.7633669337459796,,0.4246636167411234,0.014948353709289153,,,,,True,state counterfactual available from existing inference
assist_09,shuffle_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
assist_09,zero_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
assist_17,full,,0.784681630597249,,0.4320806099147673,0.0,,0.0,0.0,0.0,True,baseline
assist_17,shuffle_state_keep_id,,0.5965752722110267,,0.5196445312903754,0.18810635838622236,,,,,True,state counterfactual available from existing inference
assist_17,mean_state_keep_id,,0.6441237966300283,,0.4865145192042922,0.14055783396722077,,,,,True,state counterfactual available from existing inference
assist_17,global_only,,0.7829265821630697,,0.4359337837306946,0.001755048434179396,,,,,True,state counterfactual available from existing inference
assist_17,shuffle_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
assist_17,zero_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
junyi,full,,0.8291132046237132,,0.400754549204135,0.0,,0.0,0.0,0.0,True,baseline
junyi,shuffle_state_keep_id,,0.8188038365963592,,0.4049146419808708,0.010309368027353938,,,,,True,state counterfactual available from existing inference
junyi,mean_state_keep_id,,0.8258508187156828,,0.4016521027339835,0.0032623859080304074,,,,,True,state counterfactual available from existing inference
junyi,global_only,,0.8286027863959782,,0.3994366515844029,0.00051041822773501,,,,,True,state counterfactual available from existing inference
junyi,shuffle_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
junyi,zero_id_keep_state,,,,,,,,,,,not run: no existing checkpoint-level student-id ablation hook; do not claim ID-source audit
